,opentibia.csv,x-ray-mule.csv,jython.csv,unbvision.csv,galaxium.csv,power-architect.csv,ondex.csv,fleet-simulator.csv,ninject.csv
fleet-simulator.csv,0.86,0.6,0.23,0.41,0.48,0.85,0.29,1.0,0.15
galaxium.csv,0.13,0.06,0.13,0.22,0.99,0.33,0.35,0.52,0.18
jython.csv,0.46,0.25,1.0,0.21,0.32,0.6,0.28,0.31,0.1
ninject.csv,0.13,0.0,0.17,0.0,0.48,0.45,0.26,0.48,0.89
ondex.csv,0.33,0.12,0.5,0.26,0.23,0.23,1.0,0.45,0.4
opentibia.csv,1.0,0.76,0.23,0.38,0.53,0.49,0.18,0.74,0.31
power-architect.csv,0.69,0.38,0.23,0.26,0.45,0.99,0.26,0.87,0.21
unbvision.csv,0.67,0.22,0.5,0.97,0.47,0.32,0.3,0.66,0.2
x-ray-mule.csv,0.31,1.0,0.0,0.24,0.04,0.04,0.21,0.0,0.07
