,plearn.csv,re2c.csv,aubit4gl.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,glelite.csv
aubit4gl.csv,0.92,0.67,0.46,0.75,0.99,0.44,0.82
glelite.csv,1.0,1.0,0.96,1.0,1.0,0.99,1.0
moving-pictures.csv,0.58,0.75,0.7,0.43,0.88,0.74,0.69
plearn.csv,0.72,0.68,0.98,0.82,0.95,0.77,0.79
re2c.csv,0.82,0.17,0.85,0.63,0.78,0.35,0.77
rebecca-aiml.csv,0.86,1.03,0.75,0.63,0.74,0.26,0.61
xfce.csv,0.68,0.89,0.76,0.74,0.62,1.0,0.77
