,fido.csv,poormans.csv,hibernate.csv,ninject.csv,geogebra.csv,fluent-nhibernate.csv,uface.csv
fido.csv,2.0,0.0,1.0,59.0,3.0,8.0,9.0
fluent-nhibernate.csv,8.0,1.0,5.0,2.0,7.0,2.0,0.0
geogebra.csv,22.0,2.0,1.0,7.0,6.0,2.0,0.0
hibernate.csv,10.0,10.0,5.0,28.0,1.0,69.0,2.0
ninject.csv,36.0,10.0,3.0,1.0,1.0,37.0,0.0
poormans.csv,106.0,0.0,1.0,1.0,0.0,1.0,0.0
uface.csv,9.0,8.0,0.0,12.0,0.0,17.0,0.0
