,fido.csv,poormans.csv,hibernate.csv,ninject.csv,geogebra.csv,fluent-nhibernate.csv,uface.csv
fido.csv,0.22,0.5,0.35,0.0,0.1,0.31,0.74
fluent-nhibernate.csv,0.05,0.41,0.38,0.33,0.36,0.32,0.83
geogebra.csv,0.03,0.52,0.39,0.22,0.43,0.27,0.91
hibernate.csv,0.06,0.34,0.44,0.1,0.34,0.1,0.87
ninject.csv,0.04,0.32,0.32,0.42,0.3,0.11,0.93
poormans.csv,0.0,0.49,0.5,0.5,0.48,0.5,0.94
uface.csv,0.05,0.27,0.36,0.12,0.29,0.12,0.98
