,olsrd.csv,reaper-ecad.csv,rtb-team.csv,autofac.csv,sidekar.csv,fluidium.csv,jsr308-langtools.csv,illumination.csv,buddata-ebxml-registry.csv
autofac.csv,0.46,0.54,0.56,0.98,0.61,0.44,0.78,0.44,0.52
buddata-ebxml-registry.csv,0.0,0.17,0.64,0.24,0.0,0.13,0.36,0.21,1.0
fluidium.csv,0.14,0.05,0.38,0.2,0.0,1.0,0.0,0.0,0.17
illumination.csv,0.42,0.05,0.24,0.32,0.06,0.38,0.12,0.85,0.05
jsr308-langtools.csv,0.69,0.76,0.38,0.2,0.55,0.37,1.0,0.57,0.33
olsrd.csv,0.97,0.82,0.6,0.55,0.7,0.52,0.63,0.5,0.56
reaper-ecad.csv,0.44,0.97,0.16,0.54,0.33,0.47,0.23,0.27,0.0
rtb-team.csv,0.33,0.25,1.0,0.24,0.37,0.17,0.48,0.33,0.43
sidekar.csv,0.19,0.69,0.38,0.2,0.98,0.22,0.8,0.5,0.36
