,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.8,0.73,0.76,0.93,0.85,0.86,0.85,0.92,0.83
atlc.csv,0.51,0.41,0.3,0.35,0.44,0.46,0.48,0.42,0.42,0.54
ipfilter.csv,0.61,0.49,0.31,0.38,0.5,0.48,0.53,0.43,0.46,0.51
jmol.csv,0.49,0.58,0.32,0.38,0.76,0.51,0.83,0.41,0.74,0.8
pfaedit.csv,0.83,0.56,0.35,0.41,0.6,0.48,0.71,0.64,0.45,0.71
rockbox.csv,0.55,0.53,0.59,0.48,0.53,0.48,0.57,0.45,0.51,0.47
snakeyaml.csv,0.41,0.55,0.84,0.58,0.96,0.71,0.51,0.46,0.65,0.68
theresa.csv,0.67,0.67,0.5,0.0,0.75,0.5,0.0,0.0,0.67,0.0
trinitycore.csv,0.0,0.48,0.92,0.46,0.73,0.96,0.77,0.71,0.82,0.92
wxcode.csv,0.0,0.8,0.9,0.83,0.83,0.83,0.86,0.5,0.93,0.0
