,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,0.0,0.32,0.75,0.11,0.99,0.35,0.85,0.0,0.14,0.98,0.04,0.09,0.52,0.0,0.29,0.07,0.0
fontforge.csv,0.94,0.89,1.0,1.0,0.99,0.71,0.96,0.19,0.82,0.92,0.65,0.85,0.83,0.82,1.0,0.98,0.83
glas.csv,0.57,0.66,0.42,0.36,0.6,0.72,0.63,0.84,0.71,0.18,0.91,0.74,0.59,0.29,0.48,1.0,0.59
gmerlin.csv,0.04,0.73,0.47,0.8,0.0,0.38,0.9,0.0,0.66,0.0,0.61,0.54,0.76,0.6,0.96,0.0,0.32
hannosset.csv,0.31,0.22,0.03,0.07,0.38,0.29,0.21,0.39,0.58,0.25,0.22,0.15,0.14,0.11,0.22,0.17,0.83
hatari.csv,0.69,0.59,0.28,0.78,0.89,0.49,0.77,0.97,0.96,0.9,0.17,0.93,0.79,0.8,0.52,0.94,0.36
jaolt.csv,0.47,0.65,0.14,0.6,0.14,0.19,0.29,0.58,0.35,0.05,0.26,0.69,0.45,0.11,0.29,0.23,0.42
jcl.csv,0.71,0.39,0.72,0.33,0.59,0.45,0.69,0.42,0.75,0.68,0.35,0.21,0.48,0.05,0.38,0.29,0.39
ltp.csv,0.25,0.64,0.86,0.62,0.4,0.67,0.87,0.23,0.66,0.48,0.39,0.4,0.69,0.53,0.87,0.86,0.21
mia.csv,0.31,0.0,0.36,0.76,0.15,0.12,0.38,0.52,0.63,0.98,0.04,0.2,0.03,0.05,0.09,0.23,0.2
net-snmp.csv,0.37,0.53,0.17,0.67,0.36,0.49,0.29,0.81,0.66,0.78,0.7,0.52,0.86,0.82,0.3,0.35,0.38
opde.csv,1.0,0.45,1.0,0.29,0.99,0.59,0.38,0.84,0.63,0.0,0.22,0.96,0.66,0.07,0.84,0.93,0.44
oppna-program-hsatools.csv,0.65,0.42,0.58,1.0,0.66,0.31,0.81,0.97,0.87,0.95,0.13,0.99,0.41,0.2,0.2,0.69,0.5
powerfolder-.csv,0.76,0.19,0.5,0.98,0.63,0.28,0.46,0.19,0.81,0.75,0.65,0.99,0.17,0.25,0.12,0.54,0.55
qlc.csv,0.04,0.68,0.03,0.27,0.94,0.26,0.13,0.0,0.31,0.18,0.04,0.55,0.38,0.25,0.58,0.28,0.05
tcl.csv,0.65,0.8,0.75,0.91,0.6,0.6,0.69,0.0,0.46,0.38,0.7,0.84,0.9,0.91,0.55,0.0,0.23
