,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,0.0,98.5,195.0,96.5,396.0,557.0,1886.5,37.5,759.5,385.0,98.5,610.5,97.5,0.0,350.0,97.5,0.0
fontforge.csv,198.0,99.0,294.0,193.0,396.0,99.0,2157.5,269.5,98.5,385.0,98.5,394.0,98.5,591.5,2819.0,198.0,195.0
glas.csv,195.0,98.5,195.5,98.5,198.0,99.0,1510.0,814.5,98.5,289.5,98.5,295.0,98.5,181.5,1992.0,198.0,381.5
gmerlin.csv,156.5,98.5,193.5,98.5,0.0,99.0,1990.5,0.0,98.5,0.0,98.5,196.5,98.5,97.5,2787.5,0.0,194.0
hannosset.csv,99.0,98.5,96.5,156.0,688.0,163.0,610.5,455.5,910.0,90.5,98.5,97.5,95.5,527.5,427.5,458.5,294.0
hatari.csv,99.0,98.5,96.5,98.5,396.0,937.0,1877.5,904.0,98.5,385.0,98.5,394.0,98.5,591.5,1128.5,198.0,96.5
jaolt.csv,96.5,99.0,96.5,98.5,99.0,99.0,859.5,543.0,98.5,137.0,98.5,196.0,98.5,241.5,1321.0,97.5,184.5
jcl.csv,198.0,98.5,294.0,98.5,99.0,1027.5,1650.0,368.0,1476.0,189.0,98.5,96.5,97.5,280.0,768.0,99.0,195.5
ltp.csv,99.0,99.0,195.0,496.0,485.5,1031.5,2159.0,483.0,98.5,92.5,98.5,295.0,95.5,393.0,2337.0,198.0,96.5
mia.csv,99.0,98.5,275.5,98.5,95.5,557.0,1116.0,464.5,1016.5,385.0,96.5,194.0,98.5,152.0,127.0,490.5,294.0
net-snmp.csv,96.5,99.0,96.5,98.5,99.0,99.0,696.5,627.5,98.5,385.0,98.5,195.0,98.5,591.5,1433.5,97.5,195.5
opde.csv,198.0,98.5,294.0,83.5,396.0,99.0,1044.0,814.5,98.5,0.0,98.5,394.0,98.5,158.0,2715.5,198.0,187.0
oppna-program-hsatools.csv,99.0,99.0,195.0,98.5,198.0,937.0,2249.0,815.5,98.5,385.0,98.5,394.0,98.5,429.5,352.0,97.5,294.0
powerfolder-.csv,198.0,98.5,195.5,98.5,99.0,98.5,1554.5,170.0,98.5,385.0,98.5,394.0,98.5,559.0,296.0,97.5,294.0
qlc.csv,96.5,98.5,94.5,177.0,297.0,99.0,448.0,0.0,98.5,90.5,98.5,194.5,97.5,261.5,2218.5,97.5,85.5
tcl.csv,99.0,99.0,193.0,98.5,1179.0,99.0,1701.5,0.0,1017.5,93.5,98.5,2504.5,98.5,786.0,1386.5,0.0,96.5
