,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,0.0,0.38,0.41,0.38,0.69,0.54,0.02,1.0,0.0,0.48,0.97,0.11,0.75,0.0,0.09,0.3,0.0
fontforge.csv,0.42,0.3,0.43,0.34,0.7,0.44,0.02,0.75,0.14,0.51,0.82,0.09,0.7,0.41,0.08,0.12,0.35
glas.csv,0.5,0.35,0.56,0.36,0.61,0.43,0.03,0.47,0.16,0.53,0.81,0.09,0.74,0.62,0.13,0.11,0.37
gmerlin.csv,0.5,0.3,0.45,0.37,0.0,0.51,0.02,0.0,0.15,0.0,0.81,0.13,0.73,0.41,0.08,0.0,0.48
hannosset.csv,0.59,0.2,0.86,0.25,0.74,0.38,0.0,0.54,0.13,0.41,0.84,0.13,0.69,0.45,0.21,0.11,0.3
hatari.csv,0.45,0.36,0.67,0.35,0.71,0.49,0.02,0.42,0.13,0.5,0.95,0.09,0.74,0.41,0.1,0.12,0.38
jaolt.csv,0.53,0.34,0.72,0.31,0.67,0.58,0.06,0.49,0.23,0.33,0.93,0.08,0.81,0.45,0.05,0.08,0.38
jcl.csv,0.49,0.38,0.49,0.46,0.77,0.49,0.03,0.5,0.11,0.45,0.89,0.12,0.72,0.5,0.16,0.29,0.35
ltp.csv,0.46,0.32,0.44,0.39,0.81,0.43,0.0,0.53,0.13,0.56,0.89,0.15,0.65,0.37,0.09,0.13,0.44
mia.csv,0.53,1.0,0.48,0.33,0.48,0.57,0.05,0.54,0.1,0.48,0.98,0.22,0.92,0.4,0.0,0.12,0.48
net-snmp.csv,0.58,0.37,0.54,0.3,0.65,0.38,0.06,0.46,0.16,0.47,0.84,0.09,0.73,0.42,0.0,0.08,0.34
opde.csv,0.45,0.35,0.45,0.52,0.69,0.46,0.05,0.47,0.17,0.0,0.92,0.1,0.72,0.64,0.09,0.1,0.31
oppna-program-hsatools.csv,0.52,0.4,0.52,0.36,0.76,0.54,0.02,0.42,0.14,0.49,0.97,0.09,0.8,0.39,0.18,0.14,0.34
powerfolder-.csv,0.47,0.59,0.51,0.33,0.7,0.39,0.04,0.45,0.16,0.45,0.84,0.09,0.85,0.46,0.11,0.11,0.4
qlc.csv,0.33,0.35,0.75,0.48,0.7,0.58,0.12,0.0,0.22,0.59,0.98,0.07,0.78,0.6,0.09,0.19,0.4
tcl.csv,0.39,0.23,0.4,0.34,0.71,0.39,0.0,0.0,0.13,0.66,0.82,0.06,0.7,0.39,0.03,0.0,0.17
