,nova.csv,crisscross.csv,mvdsv.csv,proftp.csv,libmesh.csv,l2j.csv,jfreechart.csv
crisscross.csv,0.42,0.46,0.38,0.4,0.49,0.43,0.29
l2j.csv,0.75,0.49,0.82,0.3,0.41,0.46,0.33
libmesh.csv,0.0,0.95,0.92,0.94,0.84,0.64,0.0
mvdsv.csv,0.61,0.0,0.9,0.57,0.8,0.0,0.83
nova.csv,0.59,0.88,0.55,0.67,0.71,0.96,0.33
proftp.csv,0.0,0.92,0.0,0.39,0.78,0.85,0.91
