,f1,g,recall,precision,pf,wins
cascading.csv,0.49,0.59,0.6,0.44,0.51,12
codepurge.csv,0.42,0.47,0.55,0.4,0.4,10
crisscross.csv,0.51,0.27,0.93,0.35,0.93,3
elvishrayrenderer.csv,0.49,0.45,0.43,0.41,0.34,9
gisgraphy.csv,0.32,0.29,0.25,0.45,0.22,2
ivataopenportal.csv,0.5,0.45,0.87,0.36,0.82,6
lite.csv,0.15,0.12,0.1,0.46,0.11,0
mb-unit.csv,0.47,0.51,0.8,0.33,0.71,8
nova.csv,0.39,0.5,0.49,0.44,0.44,7
olex2.csv,0.34,0.33,0.38,0.4,0.25,4
openwbem.csv,0.48,0.5,0.52,0.5,0.27,13
stajistics.csv,0.47,0.46,0.77,0.34,0.75,5
uwom.csv,0.47,0.38,0.49,0.48,0.33,11
xcmetadataservicestoolkit.csv,0.25,0.41,0.52,0.3,0.56,1
