,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.09,0.05,0.39,0.0,1.0,0.6,0.37,0.07,0.14,0.13,0.24,0.33,0.3,0.28,0.17,0.09
codeblocks.csv,0.37,0.99,0.17,0.39,0.17,0.5,0.72,0.21,0.57,0.44,0.42,0.36,0.52,0.04,0.28,0.54
grisbi.csv,0.53,0.66,0.49,0.33,0.69,0.74,1.0,0.43,0.38,0.65,0.63,0.54,0.57,0.46,0.56,0.66
libmesh.csv,0.43,0.14,0.57,0.57,0.51,0.09,0.24,0.31,0.98,0.13,0.44,0.31,0.3,0.0,0.31,0.45
mesa3d.csv,0.33,0.45,0.27,0.15,0.17,0.34,0.21,0.44,0.54,0.41,0.44,0.33,0.44,0.36,0.23,0.93
panda3d.csv,0.12,0.19,0.24,0.32,0.22,0.38,0.18,0.09,0.14,0.13,0.23,0.95,0.41,0.35,0.2,0.11
proftp.csv,0.3,0.26,0.41,0.34,0.37,0.91,0.24,0.22,0.18,0.13,0.44,0.46,0.1,0.27,0.13,0.24
qmmp.csv,0.62,0.52,0.55,0.64,0.44,0.52,0.61,0.53,0.53,0.41,0.56,0.56,0.58,0.5,0.96,0.46
red5.csv,0.44,0.4,0.62,1.0,0.4,0.12,0.28,0.5,0.5,0.41,0.4,0.46,0.55,0.32,0.37,0.43
soar.csv,0.2,0.5,0.42,0.0,0.24,0.3,0.27,0.38,0.38,0.3,0.13,0.17,0.0,0.95,0.21,0.41
super-tux.csv,0.45,0.0,0.6,0.51,0.05,0.0,0.0,0.67,0.0,0.0,0.05,0.0,1.0,0.07,0.09,0.0
t-2.csv,0.28,0.47,0.3,0.19,0.37,0.41,0.13,0.97,0.42,0.45,0.43,0.53,0.48,0.34,0.25,0.15
tart.csv,0.0,0.02,0.0,0.0,0.0,0.16,0.11,0.0,0.05,0.0,1.0,0.0,0.06,0.12,0.04,0.0
tcvp.csv,0.17,0.38,0.34,0.39,0.33,0.24,0.2,0.06,0.14,1.0,0.45,0.37,0.27,0.39,0.51,0.2
utgb.csv,0.24,0.48,1.0,0.58,0.46,0.51,0.47,0.07,0.41,0.37,0.44,0.45,0.51,0.42,0.46,0.59
xbrlapi.csv,0.94,0.29,0.32,0.47,0.52,0.31,0.56,0.28,0.41,0.54,0.42,0.49,0.47,0.36,0.45,0.51
