,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.93,0.96,0.66,1.0,0.0,0.5,0.69,0.95,0.92,0.89,0.82,0.74,0.77,0.93,0.86,0.93
codeblocks.csv,0.72,0.03,0.9,0.68,0.9,0.83,0.59,0.82,0.77,0.87,0.74,0.91,0.81,0.97,0.84,0.65
grisbi.csv,0.8,0.48,0.83,0.92,0.59,0.62,0.0,0.89,0.88,0.65,0.69,0.63,0.51,0.86,0.74,0.6
libmesh.csv,0.7,0.92,0.62,0.61,0.63,1.0,0.93,0.83,0.11,0.96,0.64,0.77,1.03,1.0,1.01,0.65
mesa3d.csv,0.74,0.7,0.79,0.89,0.87,0.74,1.07,0.68,0.65,0.87,0.68,0.79,0.61,0.73,0.82,0.09
panda3d.csv,0.91,0.86,0.82,0.76,0.82,0.69,0.85,0.94,0.9,0.89,0.88,0.06,0.92,0.79,0.83,0.93
proftp.csv,0.75,0.79,0.71,0.76,0.7,0.1,0.81,0.85,0.91,0.89,0.63,0.62,0.92,0.81,0.9,0.8
qmmp.csv,0.63,0.65,0.6,0.54,0.86,0.61,0.57,0.7,0.81,0.87,0.69,0.65,0.59,0.74,0.05,0.86
red5.csv,0.87,0.79,0.56,0.0,0.81,0.98,0.98,0.64,0.71,0.87,0.84,0.69,0.53,0.81,0.76,0.89
soar.csv,0.96,0.83,0.87,1.0,0.94,0.92,0.93,0.9,0.89,0.92,0.97,0.97,1.01,0.06,0.95,0.88
super-tux.csv,0.86,1.0,0.65,0.82,0.99,1.0,1.0,0.59,1.0,1.0,0.99,1.0,0.0,0.94,0.98,1.0
t-2.csv,0.8,0.77,0.78,0.88,0.7,0.69,1.18,0.04,0.69,0.86,0.7,0.64,0.58,0.88,0.81,0.89
tart.csv,1.0,0.98,1.0,1.0,1.0,0.87,0.91,1.0,0.96,1.0,0.0,1.0,0.95,0.93,0.97,1.0
tcvp.csv,0.87,0.69,0.72,0.71,0.75,0.8,0.83,0.95,0.9,0.0,0.62,0.72,0.86,0.69,0.63,0.83
utgb.csv,0.85,0.63,0.0,0.54,0.68,0.66,0.58,0.96,0.74,0.73,0.68,0.69,0.64,0.9,0.71,0.6
xbrlapi.csv,0.08,0.77,0.81,0.85,0.66,0.75,0.53,0.81,0.71,0.68,0.76,0.65,0.68,0.77,0.61,0.81
