,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.5,1.0,0.86,0.0,1.0,0.65,0.95,0.07,0.21,0.12,0.07,0.37,0.96,0.36,0.69,0.17
codeblocks.csv,0.56,0.99,0.36,0.71,0.12,0.45,0.88,0.22,0.4,0.1,0.05,0.29,0.95,1.0,0.4,0.24
grisbi.csv,0.52,0.85,0.53,0.57,0.27,0.56,1.0,0.1,0.26,0.13,0.06,0.36,0.98,0.51,0.51,0.27
libmesh.csv,0.53,0.58,0.59,0.66,0.26,0.13,0.67,0.08,0.84,0.04,0.09,0.33,0.89,0.55,0.31,0.29
mesa3d.csv,0.6,0.76,0.62,0.62,0.2,0.5,0.57,0.15,0.4,0.07,0.06,0.27,1.0,0.59,0.63,0.84
panda3d.csv,0.5,0.75,0.54,0.63,0.25,0.62,1.0,0.07,0.27,1.0,0.03,0.98,0.93,0.5,0.65,0.12
proftp.csv,0.65,0.93,0.57,0.59,0.28,0.96,0.93,0.09,0.2,0.12,0.1,0.47,1.0,0.54,0.41,0.42
qmmp.csv,0.57,0.78,0.61,0.7,0.21,0.54,0.87,0.13,0.37,0.07,0.06,0.35,0.96,0.53,1.0,0.2
red5.csv,0.43,0.7,0.63,1.0,0.16,0.18,0.65,0.15,0.36,0.07,0.04,0.33,0.98,0.47,0.49,0.18
soar.csv,0.49,0.76,0.55,0.59,0.2,0.44,0.83,0.11,0.38,0.12,0.05,0.28,0.95,1.0,0.5,0.22
super-tux.csv,0.52,0.75,0.57,0.6,0.21,0.45,0.82,0.16,0.36,0.11,0.05,0.31,1.0,0.67,0.51,0.21
t-2.csv,0.5,0.72,0.56,0.47,0.28,0.52,0.42,0.97,0.42,0.12,0.06,0.35,1.0,0.42,0.59,0.32
tart.csv,0.0,0.67,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.38,0.22,0.0
tcvp.csv,0.5,0.82,0.77,0.65,0.24,0.67,1.0,0.19,0.27,1.0,0.12,0.36,0.92,0.65,0.57,0.29
utgb.csv,0.41,0.81,1.0,0.73,0.23,0.48,0.97,0.04,0.34,0.12,0.06,0.33,0.96,0.46,0.51,0.26
xbrlapi.csv,0.98,0.81,0.45,0.53,0.23,0.57,0.92,0.1,0.38,0.12,0.05,0.37,0.96,0.53,0.78,0.2
