,xbrlapi.csv,vdsf.csv,codeblocks.csv,ldview.csv,red5.csv,bulmages.csv,ctrlr.csv,ipfire-wall.csv,t-2.csv,libmesh.csv,free-evolution.csv,xcf.csv,l2j.csv,jruby.csv,tencompetence.csv,fulguro.csv,gisgraphy.csv
bulmages.csv,0.06,0.0,0.0,0.34,0.17,0.67,0.0,0.2,0.28,0.35,0.07,0.11,0.19,0.17,0.27,0.0,0.45
codeblocks.csv,0.49,0.51,0.7,0.44,0.38,0.41,0.68,0.47,0.55,0.69,0.57,0.33,0.17,0.29,0.16,0.31,0.57
ctrlr.csv,0.42,0.0,0.16,0.37,0.09,0.33,0.82,0.13,0.55,0.5,0.25,0.46,0.36,0.2,0.51,0.46,0.41
free-evolution.csv,0.56,0.0,0.55,0.56,0.66,0.49,0.17,0.63,0.62,0.26,0.62,0.67,0.4,0.55,0.34,0.64,0.6
fulguro.csv,0.63,0.47,0.21,0.17,0.34,0.53,0.49,0.32,0.32,0.39,0.47,0.5,0.44,0.34,0.45,0.64,0.48
gisgraphy.csv,0.2,0.0,0.46,0.68,0.09,0.06,0.59,0.4,0.37,0.53,0.48,0.29,0.06,0.09,0.02,0.3,0.75
ipfire-wall.csv,0.53,0.53,0.25,0.06,0.47,0.6,0.22,0.78,0.24,0.38,0.18,0.41,0.49,0.59,0.48,0.49,0.37
jruby.csv,0.49,0.0,0.04,0.06,0.53,0.53,0.0,0.07,0.2,0.1,0.07,0.55,0.52,0.63,0.51,0.11,0.3
l2j.csv,0.55,0.4,0.6,0.5,0.58,0.57,0.33,0.56,0.05,0.33,0.59,0.63,0.72,0.27,0.5,0.55,0.65
ldview.csv,0.48,0.0,0.32,0.65,0.5,0.5,0.17,0.47,0.52,0.55,0.54,0.57,0.41,0.35,0.28,0.53,0.65
libmesh.csv,0.33,0.0,0.5,0.5,0.17,0.52,0.0,0.13,0.02,0.71,0.5,0.44,0.22,0.17,0.59,0.38,0.36
red5.csv,0.33,0.47,0.63,0.21,0.71,0.52,0.52,0.47,0.64,0.68,0.62,0.54,0.58,0.46,0.45,0.05,0.56
t-2.csv,0.36,0.28,0.58,0.41,0.3,0.57,0.28,0.35,0.67,0.51,0.63,0.62,0.2,0.32,0.31,0.39,0.59
tencompetence.csv,0.42,0.51,0.12,0.06,0.24,0.36,0.36,0.49,0.39,0.47,0.39,0.22,0.47,0.51,0.78,0.48,0.21
vdsf.csv,0.65,0.4,0.62,0.56,0.0,0.45,0.39,0.7,0.34,0.27,0.44,0.43,0.21,0.2,0.3,0.77,0.22
xbrlapi.csv,0.72,0.0,0.06,0.28,0.51,0.37,0.12,0.37,0.36,0.31,0.07,0.38,0.22,0.01,0.35,0.65,0.3
xcf.csv,0.45,0.65,0.47,0.63,0.5,0.5,0.55,0.54,0.4,0.59,0.4,0.78,0.3,0.36,0.4,0.64,0.56
