,xbrlapi.csv,vdsf.csv,codeblocks.csv,ldview.csv,red5.csv,bulmages.csv,ctrlr.csv,ipfire-wall.csv,t-2.csv,libmesh.csv,free-evolution.csv,xcf.csv,l2j.csv,jruby.csv,tencompetence.csv,fulguro.csv,gisgraphy.csv
bulmages.csv,0.4,0.0,0.0,0.67,0.75,0.35,0.0,0.43,0.1,0.42,0.14,0.5,0.7,0.86,0.56,0.0,0.43
codeblocks.csv,0.49,0.12,0.83,0.38,0.78,0.21,0.38,0.34,0.22,0.44,0.28,0.82,0.9,0.89,0.48,0.11,0.41
ctrlr.csv,0.59,0.0,0.62,0.44,0.6,0.19,0.49,0.12,0.34,0.52,0.21,0.52,0.58,0.84,0.64,0.11,0.57
free-evolution.csv,0.52,0.09,0.76,0.4,0.67,0.21,0.16,0.4,0.24,0.22,0.34,0.7,0.81,0.88,0.54,0.2,0.36
fulguro.csv,0.57,0.07,0.57,0.75,0.58,0.21,0.26,0.29,0.1,0.29,0.21,0.52,0.67,0.9,0.63,0.2,0.3
gisgraphy.csv,0.78,0.0,0.74,0.44,1.0,0.12,0.39,0.24,0.14,0.37,0.31,0.8,0.67,0.82,0.15,0.07,0.67
ipfire-wall.csv,0.55,0.12,0.89,0.25,0.6,0.26,0.14,0.64,0.08,0.35,0.36,0.52,0.7,0.91,0.62,0.18,0.21
jruby.csv,0.47,0.09,0.67,0.25,0.67,0.23,0.0,0.5,0.19,0.29,0.67,0.51,0.72,0.9,0.63,0.5,0.25
l2j.csv,0.55,0.09,0.86,0.38,0.62,0.27,0.24,0.34,0.12,0.23,0.31,0.57,0.84,0.88,0.63,0.15,0.37
ldview.csv,0.5,0.09,0.72,0.68,0.6,0.22,0.25,0.34,0.11,0.39,0.25,0.54,0.74,0.85,0.57,0.12,0.37
libmesh.csv,0.5,0.0,0.77,0.34,0.6,0.2,0.0,0.11,0.01,0.54,0.22,0.44,0.55,0.78,0.69,0.09,0.44
red5.csv,0.49,0.1,0.78,0.36,0.76,0.19,0.28,0.34,0.15,0.44,0.28,0.53,0.74,0.87,0.57,0.12,0.36
t-2.csv,0.45,0.1,0.77,0.31,0.69,0.22,0.36,0.22,0.34,0.63,0.3,0.56,0.75,0.9,0.47,0.1,0.35
tencompetence.csv,0.57,0.08,0.67,0.5,0.47,0.16,0.21,0.57,0.08,0.37,0.17,0.43,0.69,0.85,0.84,0.17,0.15
vdsf.csv,0.57,0.22,0.78,0.4,0.55,0.22,0.18,0.42,0.07,0.36,0.19,0.43,0.71,0.86,0.65,0.23,0.25
xbrlapi.csv,0.69,0.0,0.86,0.45,0.57,0.28,0.33,0.46,0.12,0.3,0.17,0.55,0.61,1.0,0.66,0.23,0.21
xcf.csv,0.46,0.14,0.81,0.52,0.57,0.23,0.37,0.38,0.13,0.38,0.29,0.72,0.77,0.8,0.63,0.15,0.33
