,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,xstore.csv,xreal.csv
agilitybook.csv,0.36,0.22,0.26,0.54,0.12,0.2,0.32,0.17
apolloplayer.csv,0.57,0.24,0.64,0.3,0.5,0.69,0.54,0.54
k3d.csv,0.08,0.03,0.02,0.62,0.0,0.17,0.17,0.19
redshell.csv,0.27,0.38,0.79,0.35,0.38,0.82,0.63,0.49
rtb-team.csv,0.02,0.24,0.14,0.14,0.12,0.05,0.2,0.16
xreal.csv,0.13,0.44,0.08,0.05,0.12,0.45,0.22,0.01
xstore.csv,0.42,0.16,0.53,0.14,0.62,0.41,0.29,0.34
