,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.61,0.42,0.65,0.51
hibernate.csv,0.25,0.17,0.47,0.6
lamp.csv,0.6,0.41,0.58,0.57
thout.csv,0.5,0.69,0.0,0.4
