,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.21,0.33,0.71,0.41
hibernate.csv,0.27,0.37,0.55,0.51
lamp.csv,0.29,0.41,0.65,0.43
thout.csv,0.15,0.55,0.74,0.41
