,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.53,0.33,0.41,0.47,0.25,0.57,0.51,0.97,0.48,0.76
electric-core.csv,0.43,0.95,0.14,0.29,0.32,0.37,0.36,0.59,0.42,0.74
jahshakafx.csv,0.98,0.38,0.21,0.54,0.32,0.48,0.34,0.32,0.52,0.41
jython.csv,0.36,0.28,1.0,0.53,0.39,0.37,0.21,0.44,0.42,0.75
kftpgrabber.csv,0.32,0.33,0.15,0.52,0.14,0.45,0.18,0.44,0.98,0.32
mvnforum.csv,0.06,0.08,0.47,0.45,0.97,0.08,0.21,0.31,0.26,0.03
openmalaria.csv,0.63,0.37,0.2,0.63,0.39,0.48,0.98,0.78,0.53,0.74
plplot.csv,0.43,0.4,0.23,0.69,0.39,0.98,0.52,0.72,0.58,0.8
popeye-chess.csv,0.51,0.47,0.2,0.99,0.43,0.52,0.65,0.58,0.55,0.65
zxing.csv,0.56,0.39,0.5,0.6,0.49,0.32,0.61,0.59,0.47,1.0
