,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.54,0.33,0.37,0.36,0.37,0.61,0.45,0.97,0.55,0.66
electric-core.csv,0.55,0.93,0.38,0.31,0.46,0.52,0.36,0.53,0.55,0.37
jahshakafx.csv,0.98,0.35,0.17,0.42,0.37,0.38,0.25,0.23,0.48,0.31
jython.csv,0.46,0.35,1.0,0.57,0.51,0.4,0.2,0.38,0.51,0.62
kftpgrabber.csv,0.4,0.56,0.24,0.5,0.13,0.48,0.14,0.36,1.0,0.24
mvnforum.csv,0.07,0.09,0.46,0.46,0.95,0.06,0.17,0.23,0.2,0.02
openmalaria.csv,0.78,0.63,0.26,0.54,0.54,0.59,0.98,0.37,0.65,0.58
plplot.csv,0.52,0.66,0.05,0.64,0.47,0.96,0.55,0.62,0.72,0.68
popeye-chess.csv,0.68,0.68,0.2,0.98,0.59,0.6,0.67,0.5,0.68,0.55
zxing.csv,0.74,0.6,0.46,0.55,0.66,0.41,0.65,0.51,0.6,1.0
