,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.49,0.29,0.32,0.31,0.39,0.57,0.4,0.97,0.53,0.7
electric-core.csv,0.54,0.91,0.5,0.29,0.5,0.67,0.33,0.53,0.57,0.75
jahshakafx.csv,0.97,0.3,0.14,0.37,0.33,0.33,0.21,0.19,0.43,0.27
jython.csv,0.6,0.31,1.0,0.63,0.5,0.76,0.17,0.36,0.67,0.71
kftpgrabber.csv,0.37,0.69,0.59,0.46,0.11,0.43,0.12,0.33,1.0,0.2
mvnforum.csv,0.06,0.07,0.41,0.43,0.94,0.05,0.14,0.19,0.17,0.02
openmalaria.csv,0.83,0.74,0.82,0.49,0.67,0.57,0.98,0.94,0.67,0.7
plplot.csv,0.49,0.74,1.0,0.6,0.72,0.95,0.57,0.75,0.77,0.77
popeye-chess.csv,0.8,0.68,0.82,0.97,0.67,0.57,0.67,0.47,0.7,0.54
zxing.csv,0.85,0.6,0.41,0.51,0.83,0.38,0.74,0.56,0.67,1.0
