,ivatamasks.csv,mule.csv,adonthell.csv,libopenmetaverse.csv,decidr.csv,exist.csv,elynx.csv,runuomondains.csv
adonthell.csv,0.72,0.66,0.97,0.6,0.74,0.68,0.69,0.4
decidr.csv,0.65,0.53,0.41,0.57,1.0,0.66,0.0,0.67
exist.csv,0.41,0.63,0.12,0.53,0.58,0.99,0.0,0.63
ivatamasks.csv,1.0,0.56,0.58,0.54,0.44,0.65,0.69,0.36
libopenmetaverse.csv,0.49,0.43,0.09,1.0,0.42,0.56,0.0,0.7
mule.csv,0.62,1.0,0.04,0.4,0.5,0.55,0.0,0.63
runuomondains.csv,0.22,0.1,0.1,0.07,0.11,0.14,0.0,1.0
