,ivatamasks.csv,mule.csv,adonthell.csv,libopenmetaverse.csv,decidr.csv,exist.csv,elynx.csv,runuomondains.csv
adonthell.csv,0.85,0.69,0.98,0.54,0.69,0.65,0.02,0.11
decidr.csv,0.78,0.6,0.45,0.53,1.0,0.64,0.0,0.15
exist.csv,0.92,0.68,0.6,0.62,0.78,0.99,0.0,0.22
ivatamasks.csv,1.0,0.63,0.58,0.52,0.58,0.66,0.02,0.13
libopenmetaverse.csv,0.7,0.61,0.51,1.0,0.58,0.58,0.0,0.18
mule.csv,0.81,1.0,0.67,0.57,0.63,0.72,0.0,0.21
runuomondains.csv,0.59,0.67,0.42,0.67,0.61,0.41,0.0,1.0
