,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.66,0.71,0.03,0.85
img-browse-sort.csv,0.55,0.45,0.76,0.15
pcsx2.csv,0.78,0.02,0.67,0.65
xstore.csv,0.0,0.59,0.72,0.82
