,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.61,0.81,0.99,0.4
img-browse-sort.csv,0.76,0.84,0.6,1.0
pcsx2.csv,0.61,0.99,0.51,0.3
xstore.csv,1.0,0.77,0.43,0.28
