,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.38,0.0,0.24,0.0,0.07,0.17,0.33,0.08,0.34,0.87
aubit4gl.csv,0.42,0.21,0.33,0.26,0.99,0.21,0.33,0.48,0.25,0.3
liferea.csv,0.53,0.15,0.37,0.96,0.35,0.35,0.41,0.62,0.32,0.33
moving-pictures.csv,0.42,0.27,0.21,0.21,0.48,0.21,0.93,0.4,0.28,0.24
opensim4opencog.csv,0.27,0.25,0.17,0.36,0.28,0.93,0.19,0.24,0.2,0.1
plearn.csv,0.96,0.14,0.23,0.16,0.6,0.21,0.3,0.34,0.32,0.29
psrchive.csv,0.23,0.0,0.83,0.12,0.33,0.12,0.0,0.2,0.16,0.31
re2c.csv,0.4,1.0,0.4,0.26,0.64,0.1,0.3,0.59,0.77,0.17
rebecca-aiml.csv,0.34,0.25,0.37,0.21,0.64,0.18,0.31,0.42,1.0,0.31
xfce.csv,0.42,0.21,0.3,0.48,0.5,0.27,0.59,0.98,0.35,0.36
