,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.66,1.0,0.86,1.0,0.96,0.83,0.79,0.96,0.73,0.23
aubit4gl.csv,0.63,0.66,0.56,0.78,0.02,0.69,0.79,0.74,0.95,0.66
liferea.csv,0.48,0.76,0.51,0.08,0.79,0.55,0.72,0.55,0.77,0.64
moving-pictures.csv,0.61,0.68,0.75,0.85,0.7,0.76,0.11,0.75,0.77,0.73
opensim4opencog.csv,0.81,0.83,0.86,0.7,0.84,0.13,0.89,0.86,0.87,0.94
plearn.csv,0.07,0.84,0.75,0.88,0.73,0.76,0.84,0.86,0.75,0.66
psrchive.csv,0.86,1.0,0.29,0.92,0.79,0.91,1.0,0.91,0.91,0.69
re2c.csv,0.66,0.0,0.46,0.78,0.75,0.92,0.81,0.75,0.21,0.86
rebecca-aiml.csv,0.78,0.83,0.51,0.82,0.82,0.76,0.82,0.77,0.0,0.64
xfce.csv,0.72,0.66,0.69,0.57,0.87,0.64,0.75,0.03,0.7,0.62
