,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.42,0.0,0.14,0.0,0.04,0.17,0.25,0.04,0.44,0.77
aubit4gl.csv,0.56,0.67,0.71,0.38,0.98,0.39,0.25,0.37,0.39,0.43
liferea.csv,0.64,0.33,0.57,0.92,0.26,0.48,0.32,0.49,0.24,0.4
moving-pictures.csv,0.46,0.33,0.36,0.15,0.43,0.26,0.89,0.26,0.28,0.37
opensim4opencog.csv,0.2,0.17,0.14,0.31,0.2,0.87,0.11,0.14,0.13,0.07
plearn.csv,0.93,0.17,0.29,0.15,0.67,0.26,0.25,0.24,0.28,0.47
psrchive.csv,0.14,0.0,0.71,0.08,0.22,0.09,0.0,0.13,0.09,0.33
re2c.csv,0.37,1.0,0.64,0.38,0.76,0.09,0.21,0.53,0.85,0.3
rebecca-aiml.csv,0.22,0.17,0.57,0.23,0.8,0.3,0.25,0.3,1.0,0.5
xfce.csv,0.69,0.67,0.79,0.92,0.56,0.87,0.75,0.98,0.43,0.77
