,heekscad.csv,xcsoar.csv,ikvm.csv,jcae.csv,xuggle.csv,gbif-providertoolkit.csv,qcad2.csv,levent.csv,jaxen.csv,nicepress.csv,customwars.csv,archive-crawler.csv,quarkplusplus.csv,all-plasm.csv,sigil.csv,pnotepad.csv,qedo.csv,gss.csv
all-plasm.csv,0.53,0.64,0.64,0.93,0.79,0.63,0.65,0.82,0.65,0.83,0.66,0.74,0.63,0.1,0.52,0.87,1.0,0.76
archive-crawler.csv,0.7,0.96,0.89,0.57,0.69,0.79,0.42,0.63,0.44,0.73,0.81,0.0,0.88,0.61,0.87,0.83,0.88,0.89
customwars.csv,0.81,0.61,0.56,0.79,0.73,0.82,0.76,0.74,0.8,0.75,0.06,0.86,0.77,0.81,0.78,0.74,0.52,0.86
gbif-providertoolkit.csv,0.7,0.86,0.92,0.89,0.73,0.07,0.82,0.82,0.81,0.82,0.79,0.96,0.62,0.91,0.81,0.92,0.96,0.93
gss.csv,0.75,0.52,0.51,0.72,0.63,0.64,0.54,0.64,0.38,0.54,0.55,0.78,0.78,0.95,0.61,0.84,0.73,0.0
heekscad.csv,0.02,0.51,0.75,0.72,0.39,0.69,0.46,0.51,0.73,0.57,0.78,0.57,0.71,0.85,0.44,0.55,0.49,0.58
ikvm.csv,0.86,0.71,0.0,0.77,0.81,0.74,0.77,0.79,0.64,0.7,0.67,0.65,0.77,0.76,0.8,0.78,0.96,0.62
jaxen.csv,0.62,0.86,0.96,1.0,0.87,0.93,0.65,0.94,0.0,0.94,0.83,0.75,0.96,0.76,0.85,0.85,1.0,0.83
jcae.csv,0.69,0.95,0.96,0.0,0.81,0.79,0.83,0.92,0.41,0.86,0.72,0.89,0.96,0.81,0.85,0.96,0.96,0.9
levent.csv,0.46,0.51,0.75,0.45,0.56,0.51,0.57,0.0,0.63,0.79,0.77,0.71,0.71,0.62,0.52,0.67,0.78,0.76
nicepress.csv,0.81,0.57,0.65,0.63,0.76,0.69,0.8,0.66,0.6,0.0,1.01,0.86,0.92,0.89,0.61,0.8,0.92,0.67
pnotepad.csv,0.58,0.58,0.84,0.95,0.61,0.73,0.56,0.62,0.78,0.6,0.78,0.73,0.79,0.88,0.73,0.04,1.04,0.7
qcad2.csv,0.77,0.86,0.58,0.58,0.73,0.8,0.04,0.68,0.64,0.87,0.58,0.66,0.76,0.42,0.61,0.86,1.07,0.71
qedo.csv,0.99,1.0,0.91,1.01,0.96,1.0,1.0,1.0,1.06,0.97,0.94,1.0,1.0,0.9,1.0,1.0,0.05,0.97
quarkplusplus.csv,0.69,0.6,0.73,0.66,0.63,0.6,0.56,0.84,0.66,0.82,0.48,0.71,0.04,0.69,0.53,0.72,0.69,0.53
sigil.csv,0.66,0.77,0.9,0.57,0.64,0.62,0.47,0.51,0.58,0.63,0.79,0.77,0.61,0.48,0.02,0.58,0.92,0.75
xcsoar.csv,0.37,0.06,0.61,0.62,0.51,0.56,0.57,0.54,0.54,0.55,0.65,0.7,0.67,0.66,0.46,0.44,0.94,0.5
xuggle.csv,0.57,0.63,0.81,0.85,0.17,0.7,0.73,0.73,0.8,0.61,0.58,0.69,0.83,0.55,0.53,0.88,0.86,0.8
