,heekscad.csv,xcsoar.csv,ikvm.csv,jcae.csv,xuggle.csv,gbif-providertoolkit.csv,qcad2.csv,levent.csv,jaxen.csv,nicepress.csv,customwars.csv,archive-crawler.csv,quarkplusplus.csv,all-plasm.csv,sigil.csv,pnotepad.csv,qedo.csv,gss.csv
all-plasm.csv,0.59,0.55,0.61,0.87,0.92,0.92,0.7,0.9,0.86,0.95,0.62,0.66,0.7,0.63,0.58,0.92,0.88,0.8
archive-crawler.csv,0.77,0.67,0.9,0.93,0.94,0.88,0.46,0.72,0.53,0.72,0.8,0.74,0.67,0.73,0.88,0.88,0.95,0.82
customwars.csv,0.88,0.62,0.64,0.92,0.94,0.77,0.85,0.71,0.86,0.84,0.94,0.73,0.73,0.83,0.59,0.69,0.55,0.71
gbif-providertoolkit.csv,0.74,0.92,0.83,0.5,0.99,0.92,0.95,0.91,0.89,0.81,0.71,0.8,0.92,0.67,0.79,0.86,0.96,0.5
gss.csv,0.49,0.37,0.41,0.31,0.68,0.35,0.5,0.53,0.5,0.51,0.35,0.35,0.6,0.28,0.51,0.64,0.4,0.4
heekscad.csv,0.43,0.35,0.38,0.34,0.48,0.37,0.43,0.41,0.42,0.38,0.36,0.35,0.44,0.35,0.43,0.48,0.38,0.35
ikvm.csv,0.88,0.85,0.59,0.53,0.79,0.43,0.95,0.88,0.76,0.88,0.55,0.49,0.92,0.48,0.92,0.8,0.95,0.41
jaxen.csv,0.72,0.89,0.5,0.0,0.93,0.75,0.89,0.67,0.8,0.67,0.91,0.92,0.67,0.8,0.9,0.86,0.0,0.83
jcae.csv,0.56,0.67,0.67,0.89,0.96,0.8,0.92,0.75,0.91,0.89,0.94,0.77,0.5,0.8,0.88,0.5,0.93,0.67
levent.csv,0.45,0.47,0.47,0.57,0.59,0.47,0.51,0.51,0.55,0.54,0.39,0.43,0.55,0.36,0.52,0.54,0.41,0.42
nicepress.csv,0.78,0.6,0.58,0.57,0.77,0.59,0.79,0.58,0.88,0.58,0.93,0.58,0.75,0.9,0.64,0.64,0.97,0.67
pnotepad.csv,0.44,0.36,0.36,0.3,0.52,0.35,0.43,0.41,0.42,0.42,0.33,0.34,0.48,0.3,0.44,0.41,0.5,0.42
qcad2.csv,0.83,0.9,0.55,0.94,0.97,0.92,0.62,0.65,0.7,0.92,0.67,0.61,0.8,0.61,0.59,0.88,0.56,0.67
qedo.csv,0.67,0.0,0.75,0.91,0.94,0.0,0.67,0.0,0.89,0.67,0.8,0.0,0.0,0.5,0.5,0.0,0.95,0.5
quarkplusplus.csv,0.72,0.68,0.56,0.39,0.72,0.66,0.56,0.89,0.52,0.78,0.67,0.41,0.7,0.42,0.55,0.65,0.49,0.52
sigil.csv,0.61,0.74,0.91,0.93,0.78,0.68,0.48,0.5,0.58,0.58,0.54,0.88,0.5,0.55,0.47,0.59,0.98,0.91
xcsoar.csv,0.41,0.45,0.38,0.36,0.55,0.39,0.44,0.5,0.38,0.46,0.37,0.33,0.41,0.41,0.41,0.45,0.45,0.41
xuggle.csv,0.5,0.58,0.5,0.53,0.98,0.96,0.78,0.72,0.86,0.62,0.61,0.58,0.6,0.52,0.57,0.53,0.54,0.48
