,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.17,0.26,0.34,0.25,0.12,0.22,0.25,0.04,0.38,0.31,0.07,0.09,0.0,0.11
doomlegacy.csv,0.37,0.43,0.53,0.47,0.3,0.73,0.41,0.35,0.49,0.0,0.45,0.7,0.63,0.56
empserver.csv,0.24,0.36,0.38,0.42,0.0,0.29,0.31,0.35,0.33,0.23,0.14,0.21,0.48,0.33
fritzing.csv,0.22,0.01,0.3,0.42,0.55,0.12,0.7,0.62,0.67,0.15,0.18,0.05,0.38,0.44
ifmo-game-1.csv,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0
jparsec.csv,0.27,0.49,0.6,0.48,0.94,0.84,0.9,0.0,0.87,0.73,0.72,0.75,0.4,1.0
lmms.csv,0.09,0.04,0.0,0.43,0.82,0.69,0.5,0.06,0.41,0.5,0.45,0.41,0.84,0.56
lufa-lib.csv,0.66,0.38,0.34,0.39,0.18,0.1,0.3,0.75,0.01,0.23,0.44,0.11,0.16,0.67
pgui.csv,0.48,0.7,0.45,0.43,0.24,0.3,0.01,0.23,0.79,0.31,0.16,0.36,0.3,0.44
pi-qmc.csv,0.28,0.3,0.47,0.31,0.52,0.26,0.19,0.33,0.57,0.42,0.3,0.0,0.22,0.44
repositorium.csv,0.55,0.58,0.22,0.32,0.18,0.0,0.6,0.33,0.31,0.31,0.12,0.11,0.17,0.56
superwaba.csv,0.01,0.44,0.3,0.55,0.12,0.12,0.48,0.2,0.66,0.27,0.08,0.04,0.15,0.33
xapian.csv,0.11,0.42,0.29,0.22,0.55,0.27,0.42,0.52,0.24,0.46,0.0,0.16,0.32,0.56
zemljanka.csv,0.78,0.94,0.89,0.99,0.94,0.98,1.0,0.97,0.95,0.92,0.98,1.0,1.0,0.11
