,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.38,0.56,0.41,0.14,0.19,0.27,0.4,0.02,0.26,0.25,0.15,0.55,0.94,0.26
doomlegacy.csv,0.4,0.58,0.76,0.86,0.44,0.36,0.64,0.42,0.67,1.0,0.65,0.77,0.75,0.5
empserver.csv,0.54,0.36,0.36,0.29,0.97,0.18,0.38,0.53,0.46,0.25,0.27,0.27,0.42,0.21
fritzing.csv,0.6,0.99,0.54,0.43,0.75,0.36,0.87,0.64,0.67,0.36,0.5,0.45,0.52,0.35
ifmo-game-1.csv,0.06,0.11,0.02,0.71,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
jparsec.csv,0.5,0.39,0.46,0.29,0.86,0.91,0.94,0.91,0.97,0.48,0.65,0.77,0.34,0.92
lmms.csv,0.2,0.03,0.98,0.29,0.61,0.73,0.7,0.2,0.28,0.71,0.46,0.59,0.91,0.74
lufa-lib.csv,0.66,0.5,0.4,0.0,0.22,0.27,0.49,0.82,0.94,0.49,0.42,0.36,0.31,0.41
pgui.csv,0.52,0.62,0.43,0.57,0.42,0.27,0.96,0.22,0.83,0.36,0.35,0.45,0.51,0.32
pi-qmc.csv,0.46,0.53,0.53,0.29,0.53,0.18,0.28,0.4,0.51,0.54,0.46,1.0,0.4,0.75
repositorium.csv,0.76,0.75,0.25,0.14,0.28,0.82,0.64,0.62,0.6,0.28,0.12,0.05,0.27,0.59
superwaba.csv,0.96,0.78,0.42,0.57,0.31,0.18,0.66,0.24,0.67,0.39,0.15,0.0,0.43,0.41
xapian.csv,0.34,0.42,0.42,0.57,0.53,0.09,0.43,0.36,0.23,0.44,0.96,0.36,0.62,0.62
zemljanka.csv,0.92,0.94,0.91,1.0,0.89,1.0,1.0,0.96,0.99,0.95,1.0,1.0,1.0,1.0
