,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv
lazarus-ccr.csv,0.96,0.42,0.4,0.2,0.14
lcfizvtop.csv,0.45,0.52,0.32,0.33,1.0
migen.csv,0.43,0.97,0.36,0.42,0.19
mvnforum.csv,0.39,0.43,1.0,0.24,0.33
plplot.csv,0.5,0.51,0.32,1.0,0.24
