,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv
lazarus-ccr.csv,0.56,0.55,0.45,0.62,0.44
lcfizvtop.csv,0.39,0.61,0.68,0.67,0.9
migen.csv,0.36,0.5,0.71,0.65,0.81
mvnforum.csv,0.89,0.74,0.81,0.92,0.67
plplot.csv,0.37,0.33,0.37,0.68,0.65
