,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.41,0.3,0.67,0.15,1.0,0.36,0.17,0.42,0.15,0.41,0.3,0.72,0.64,0.97,0.55
fmri-dmt.csv,0.41,0.44,0.57,0.26,0.0,0.71,1.0,0.27,0.23,0.47,0.63,0.45,0.38,0.97,0.91
ftm.csv,0.46,0.85,0.24,0.45,1.0,0.5,0.33,0.23,0.54,0.12,0.27,0.37,0.72,0.37,0.27
fulguro.csv,0.41,0.0,0.29,0.21,1.0,0.21,0.67,0.81,0.0,0.47,0.7,0.08,0.3,0.26,0.45
gss.csv,0.97,0.85,0.76,0.91,1.0,0.86,0.83,0.88,1.0,0.88,0.77,0.92,0.87,0.91,0.64
illumination.csv,0.0,0.0,0.0,0.0,1.0,0.86,0.83,0.38,0.0,0.82,0.87,0.0,0.0,0.91,0.0
ldview.csv,0.59,1.0,0.67,1.0,1.0,1.0,0.83,0.31,0.69,0.94,0.8,0.58,0.16,0.97,1.0
monetdb.csv,0.64,0.52,0.48,0.7,1.0,0.36,0.17,0.38,0.77,0.53,0.4,0.53,0.64,0.6,0.18
netatalk.csv,0.72,0.85,0.57,0.72,1.0,0.57,0.83,0.92,1.0,0.71,0.77,0.83,0.95,0.49,0.82
olex2.csv,0.72,0.89,0.0,0.06,1.0,0.36,1.0,0.35,0.23,0.12,0.27,0.7,0.7,0.6,0.0
qpe.csv,0.69,0.74,0.29,0.66,0.0,0.79,0.5,0.19,0.92,0.41,0.67,0.22,0.23,0.0,0.45
quark.csv,0.23,0.04,0.19,0.34,0.0,0.21,0.0,0.12,0.85,0.0,0.1,0.15,0.44,0.06,0.09
sepgsql.csv,0.62,0.85,0.48,0.57,1.0,0.57,0.17,0.19,0.85,0.24,0.4,0.57,0.66,0.43,0.73
synergyspace.csv,0.31,0.37,0.0,0.15,1.0,0.07,0.83,0.69,0.08,0.24,0.4,0.07,0.05,0.03,0.09
