,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.11,0.82,0.99,0.65
google-caja.csv,0.18,1.0,0.43,0.7
itext.csv,0.21,0.73,0.65,0.97
plee-the-bear.csv,0.86,0.28,0.49,0.32
