,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.21,0.17,0.98,0.4
google-caja.csv,0.52,1.0,0.33,0.69
itext.csv,0.71,0.64,0.53,0.95
plee-the-bear.csv,0.8,0.21,0.36,0.3
