,recall,precision,pf,pci_20,ifa,wins
checker-framework.csv,0.81,0.48,0.69,0.44,1.0,12
fluidium.csv,0.03,0.14,0.01,0.0,1.0,1
guineu.csv,0.7,0.46,0.75,0.54,1.0,9
inkscape.csv,0.77,0.4,0.79,0.49,1.0,7
mpqc.csv,0.21,0.26,0.31,0.91,2.0,2
nsis.csv,0.66,0.31,0.66,0.55,2.0,0
octave.csv,0.23,0.36,0.23,0.8,1.0,11
owfs.csv,0.84,0.4,0.79,0.41,1.0,5
owlib.csv,0.62,0.55,0.43,0.36,1.0,14
pamguard.csv,0.5,0.41,0.36,0.59,2.0,3
prelude.csv,0.93,0.45,0.88,0.4,1.0,8
robocode.csv,0.55,0.45,0.39,0.43,1.0,10
uwom-server.csv,0.29,0.36,0.29,0.53,1.0,4
zengine.csv,0.98,0.4,0.93,0.42,1.0,6
zildo.csv,0.56,0.44,0.34,0.49,1.0,13
