,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.34,0.4,0.88,0.18,0.27,0.16,0.62,0.53,0.48,0.25,0.85,0.8,0.53,0.41,0.66
fluidium.csv,0.5,0.8,0.0,0.14,0.0,0.22,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.52,0.67
guineu.csv,0.49,0.34,0.76,0.15,0.15,0.18,0.58,0.46,0.13,0.17,0.94,0.72,0.52,0.42,0.66
inkscape.csv,0.34,0.46,0.79,0.18,0.18,0.24,0.77,0.39,0.18,0.29,0.89,0.76,0.49,0.4,0.65
mpqc.csv,0.25,0.26,0.0,0.0,0.09,0.3,0.42,0.36,0.03,0.19,0.94,0.67,0.24,0.36,0.33
nsis.csv,0.31,0.33,0.88,0.13,0.12,0.21,0.52,0.31,0.2,0.25,1.0,0.83,0.49,0.26,0.63
octave.csv,0.3,0.4,1.0,0.14,0.33,0.16,0.79,0.36,0.05,0.19,0.85,0.92,0.29,0.4,0.81
owfs.csv,0.32,0.4,0.79,0.27,0.2,0.09,0.59,0.43,0.19,0.27,0.92,0.84,0.54,0.36,0.68
owlib.csv,0.36,0.59,0.92,0.21,0.21,0.11,0.64,0.54,0.31,0.28,0.93,0.81,0.67,0.55,0.75
pamguard.csv,0.23,0.41,0.82,0.22,0.29,0.19,0.57,0.47,0.32,0.25,1.0,0.78,0.54,0.33,0.75
prelude.csv,0.32,0.41,0.97,0.19,0.19,0.13,0.64,0.45,0.21,0.29,0.89,0.85,0.51,0.47,0.65
robocode.csv,0.39,0.45,0.0,0.31,0.27,0.13,0.69,0.67,0.32,0.36,0.9,0.87,0.53,0.5,0.6
uwom-server.csv,0.27,0.35,0.0,0.21,0.28,0.08,0.7,0.4,0.26,0.37,0.92,0.9,0.36,0.44,0.63
zengine.csv,0.31,0.4,0.84,0.15,0.19,0.15,0.57,0.45,0.19,0.25,0.92,1.0,0.52,0.33,0.64
zildo.csv,0.43,0.44,0.96,0.17,0.27,0.12,0.63,0.73,0.33,0.29,0.86,0.91,0.75,0.43,0.65
