,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.48,0.55,0.28,0.3,0.36,0.27,0.74,0.64,0.61,0.33,0.48,0.63,0.69,0.55,0.68
fluidium.csv,0.07,0.07,0.0,0.18,0.0,0.28,0.0,0.08,0.0,0.0,0.0,0.0,0.16,0.58,0.06
guineu.csv,0.58,0.45,0.75,0.24,0.25,0.29,0.63,0.59,0.2,0.26,0.8,0.77,0.44,0.59,0.52
inkscape.csv,0.45,0.59,0.88,0.31,0.12,0.29,0.73,0.47,0.29,0.4,0.31,0.85,0.61,0.56,0.78
mpqc.csv,0.24,0.09,0.0,0.0,0.13,0.39,0.18,0.36,0.05,0.2,0.72,0.52,0.17,0.44,0.06
nsis.csv,0.44,0.43,0.77,0.18,0.19,0.31,0.59,0.35,0.31,0.36,0.81,0.79,0.55,0.25,0.67
octave.csv,0.32,0.4,0.09,0.11,0.41,0.18,0.39,0.36,0.06,0.21,0.32,0.47,0.14,0.39,0.35
owfs.csv,0.47,0.54,0.88,0.36,0.32,0.14,0.71,0.55,0.32,0.42,0.78,0.75,0.66,0.46,0.78
owlib.csv,0.49,0.65,0.69,0.35,0.32,0.18,0.64,0.57,0.41,0.39,0.72,0.48,0.69,0.54,0.25
pamguard.csv,0.23,0.39,0.85,0.32,0.37,0.25,0.45,0.53,0.4,0.25,0.31,0.71,0.62,0.08,0.72
prelude.csv,0.48,0.58,0.9,0.32,0.32,0.23,0.77,0.6,0.34,0.44,0.74,0.86,0.66,0.55,0.76
robocode.csv,0.54,0.47,0.0,0.37,0.38,0.21,0.7,0.72,0.47,0.44,0.47,0.49,0.64,0.51,0.53
uwom-server.csv,0.2,0.27,0.0,0.24,0.37,0.12,0.58,0.37,0.38,0.48,0.41,0.64,0.15,0.48,0.4
zengine.csv,0.47,0.57,0.85,0.26,0.32,0.26,0.72,0.62,0.31,0.39,0.96,0.9,0.69,0.41,0.78
zildo.csv,0.53,0.58,0.74,0.28,0.34,0.17,0.59,0.47,0.43,0.34,0.35,0.69,0.71,0.34,0.67
