,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.31,0.27,0.33,0.37,0.5,0.69,0.22,0.48,0.06,0.46,0.12,0.87,0.97
aubit4gl.csv,0.05,0.36,0.33,0.15,0.29,0.15,0.72,0.22,0.0,0.19,0.38,0.76,0.06
bionote.csv,0.29,0.36,0.17,0.19,0.29,0.38,0.04,0.57,0.29,0.14,0.75,0.2,0.09
liferea.csv,0.69,0.91,0.0,0.48,0.57,0.62,0.15,0.3,0.18,0.54,0.0,0.15,0.31
opensim4opencog.csv,0.59,0.82,0.33,0.7,0.71,0.62,0.76,0.48,0.06,0.81,0.62,0.44,0.46
pclasses.csv,0.61,0.82,0.0,0.48,0.07,0.0,0.02,0.3,0.0,0.05,0.0,0.33,0.31
plearn.csv,0.68,0.91,0.33,0.52,0.71,0.69,0.06,0.48,0.24,0.57,0.0,0.35,1.0
psrchive.csv,0.61,0.18,0.67,0.3,0.79,0.54,0.83,0.43,0.0,0.51,0.38,0.76,0.0
re2c.csv,0.36,0.18,1.0,0.48,0.57,0.38,0.39,0.39,0.06,0.43,0.25,0.76,0.83
rebecca-aiml.csv,0.27,0.0,0.67,0.19,0.64,0.62,0.72,0.39,0.18,0.68,0.88,0.87,0.54
thrust.csv,0.05,0.0,0.5,0.11,0.07,0.08,0.06,0.35,0.47,0.19,0.38,0.41,0.09
tzod.csv,0.68,0.27,0.33,0.56,0.64,0.77,0.59,0.43,0.18,0.51,0.25,0.2,0.11
yaprm.csv,0.68,0.36,0.33,0.37,0.5,0.08,0.46,0.3,0.29,0.68,0.5,0.13,0.0
