,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.39,0.2,0.25,0.26,0.13,0.31,0.4,0.1,0.5,0.47,0.03,0.39,0.63
aubit4gl.csv,0.43,0.21,0.2,0.67,0.2,0.13,0.65,0.06,0.0,0.47,0.3,0.38,1.0
bionote.csv,0.4,0.24,0.11,0.38,0.31,0.33,0.17,0.19,0.18,0.56,0.38,0.21,0.05
liferea.csv,0.31,0.22,0.0,0.62,0.19,0.42,0.33,0.18,0.19,0.56,0.0,0.35,0.5
opensim4opencog.csv,0.42,0.36,0.06,0.49,0.25,0.38,0.56,0.22,0.17,0.55,0.19,0.44,0.43
pclasses.csv,0.43,0.41,0.0,0.38,1.0,0.0,1.0,0.12,0.0,0.5,0.0,0.2,0.73
plearn.csv,0.47,0.28,0.11,0.5,0.22,0.41,0.25,0.24,0.14,0.46,0.0,0.23,0.28
psrchive.csv,0.43,0.13,0.4,0.57,0.46,0.19,0.56,0.11,0.0,0.49,0.2,0.42,0.0
re2c.csv,0.37,0.17,0.86,0.34,0.17,0.22,0.62,0.09,0.33,0.53,0.06,0.39,0.66
rebecca-aiml.csv,0.4,0.0,0.17,0.33,0.19,0.29,0.58,0.11,0.75,0.54,0.15,0.71,0.53
thrust.csv,0.25,0.0,0.13,0.43,0.05,0.2,0.6,0.08,0.53,0.44,0.09,0.17,0.6
tzod.csv,0.37,0.14,0.08,0.52,0.24,0.34,0.59,0.19,0.25,0.56,0.33,0.28,0.08
yaprm.csv,0.37,0.16,0.07,0.59,0.24,0.5,0.6,0.23,0.25,0.69,0.15,0.29,0.0
