,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,294.0,97.5,0.0,0.0,478.0,98.5,463.5,97.5,97.5,383.0,457.5,0.0
fityk.csv,94.5,97.5,490.0,99.0,752.0,98.5,277.5,97.5,97.5,383.0,97.5,98.5
hatari.csv,92.5,97.5,490.0,197.5,849.5,98.5,463.5,89.5,183.0,288.5,457.5,1302.5
lmms.csv,96.5,91.5,292.5,99.0,1036.5,95.5,279.5,97.5,97.5,288.5,270.5,197.5
mecat.csv,83.5,91.5,94.5,73.5,274.5,81.5,190.0,0.0,97.5,92.5,0.0,49.5
nullc.csv,96.5,97.5,392.5,98.5,849.5,98.5,1522.0,97.5,97.5,285.5,270.5,769.5
oscarmcmaster.csv,96.5,97.5,94.5,99.0,178.0,98.5,185.0,97.5,96.5,187.0,457.5,387.5
superwaba.csv,96.5,97.5,195.0,99.0,519.5,98.5,277.5,97.5,97.5,383.0,97.5,484.0
tycho.csv,96.5,97.5,195.0,99.0,544.0,289.5,180.0,97.5,97.5,191.0,97.5,482.0
vienna-add-in.csv,195.0,97.5,490.0,98.5,470.5,387.0,371.0,95.5,97.5,383.0,116.5,197.5
voms.csv,96.5,91.5,490.0,195.0,278.5,98.5,279.5,97.5,97.5,383.0,97.5,290.0
wsmt.csv,0.0,217.5,195.0,196.5,320.0,288.5,34.5,97.5,18.5,682.0,97.5,672.5
