,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.38,0.51,0.6,0.39,0.43,0.55,0.56,0.47,0.41,0.4,0.53,0.44,0.42,0.52
encog-cs.csv,0.31,0.43,0.6,0.39,0.36,0.39,0.39,0.5,0.49,0.57,0.45,0.42,0.42,0.45
extprosys.csv,0.45,0.43,0.59,0.4,0.4,0.45,0.77,0.6,0.92,0.49,0.62,0.52,0.44,0.47
ibatisdb.csv,0.91,0.55,0.66,0.69,0.49,0.65,0.75,0.6,0.76,0.54,0.57,0.62,0.97,0.6
intact.csv,0.52,0.42,0.64,0.43,0.42,0.55,0.75,0.46,0.49,0.41,0.42,0.53,0.38,0.47
japano.csv,0.4,0.46,0.58,0.39,0.42,0.41,0.38,0.53,0.36,0.46,0.48,0.45,0.42,0.51
lockss.csv,0.53,0.38,0.61,0.89,0.6,0.78,0.62,0.37,0.95,0.42,0.43,0.53,0.44,0.61
ofbiz.csv,0.4,0.45,0.51,0.43,0.53,0.4,0.45,0.41,0.53,0.74,0.46,0.56,0.47,0.47
officefloor.csv,0.45,0.64,0.63,0.44,0.81,0.73,0.0,0.4,0.55,0.71,0.52,0.83,0.7,0.46
opennms.csv,0.6,0.5,0.67,0.88,0.55,0.88,0.44,0.75,0.92,0.63,0.99,0.71,0.6,0.89
rohxel.csv,0.67,0.5,0.57,0.59,0.67,0.94,0.45,0.48,0.36,0.48,0.67,0.61,0.98,0.56
roolo.csv,0.42,0.53,0.59,0.49,0.4,0.41,0.75,0.67,0.62,0.46,0.5,0.65,0.46,0.58
sevenupdate.csv,0.32,0.59,0.47,0.35,0.38,0.33,0.38,0.47,0.36,0.48,0.45,0.4,0.39,0.42
