,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.62,0.7,0.68,0.21,0.76,0.66,0.4,0.92,0.8,0.82,0.5,0.68,0.78,0.92
encog-cs.csv,0.99,0.84,0.69,0.95,0.81,0.72,1.01,1.0,0.42,0.76,0.99,0.93,0.67,0.77
extprosys.csv,0.63,0.87,0.52,0.8,0.87,0.76,0.8,0.51,0.73,0.89,0.54,0.69,0.84,0.64
ibatisdb.csv,1.01,0.72,0.75,0.86,0.61,0.73,0.77,0.78,0.7,0.77,0.58,0.95,0.88,0.29
intact.csv,0.47,0.9,0.69,0.58,0.69,0.4,0.77,0.67,0.53,0.93,0.56,0.84,0.71,0.53
japano.csv,1.26,1.01,0.72,0.94,0.75,0.81,1.0,0.43,0.97,0.83,0.96,0.9,0.91,0.84
lockss.csv,0.28,0.61,0.54,0.91,0.73,0.85,0.7,0.73,0.82,0.5,0.44,0.82,0.66,0.75
ofbiz.csv,1.23,0.87,0.92,0.74,0.69,0.79,0.6,0.77,0.58,0.87,0.72,0.71,0.45,0.65
officefloor.csv,0.53,0.78,0.77,0.65,0.77,0.72,0.97,0.8,0.64,0.81,0.43,0.96,0.77,0.58
opennms.csv,0.38,0.95,0.96,0.92,0.44,0.9,0.71,0.97,0.79,0.68,0.85,0.79,0.68,0.95
rohxel.csv,0.34,0.77,0.64,0.68,0.83,0.74,0.51,0.52,0.64,0.52,0.7,0.72,0.87,0.74
roolo.csv,0.67,0.75,0.72,0.59,0.79,0.84,0.82,0.78,0.79,0.93,0.88,0.39,0.81,0.94
sevenupdate.csv,0.96,0.24,1.0,1.0,0.97,1.0,1.0,1.0,0.98,0.85,0.99,1.0,0.94,1.0
