,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,42.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,5.0,76.0,0.0,2.0,30.0
encog-cs.csv,81.0,0.0,8.0,1.0,3.0,8.0,0.0,0.0,0.0,19.0,323.0,0.0,2.0,9.0
extprosys.csv,60.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,6.0,13.0,0.0,2.0,8.0
ibatisdb.csv,104.0,0.0,9.0,1.0,3.0,1.0,1.0,0.0,3.0,17.0,19.0,7.0,4.0,1.0
intact.csv,41.0,0.0,7.0,0.0,2.0,1.0,1.0,0.0,1.0,6.0,58.0,1.0,5.0,19.0
japano.csv,104.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,6.0,318.0,0.0,2.0,17.0
lockss.csv,8.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,68.0,0.0,6.0,1.0
ofbiz.csv,104.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,2.0,3.0,201.0,0.0,6.0,24.0
officefloor.csv,39.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,21.0,2.0,5.0,0.0,4.0
opennms.csv,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,2.0,1.0
rohxel.csv,29.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,118.0,3.0,0.0,16.0
roolo.csv,64.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,15.0,6.0,309.0,0.0,9.0,33.0
sevenupdate.csv,77.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,16.0,6.0,323.0,0.0,2.0,17.0
