,recall,precision,pf,pci_20,ifa,wins
codepurge.csv,0.355,0.31,0.26,0.6,3.0,6
ctrlr.csv,0.14500000000000002,0.21000000000000002,0.26,0.935,7.0,1
dvt.csv,0.42500000000000004,0.335,0.37,0.595,2.0,7
flylinkdc.csv,0.615,0.355,0.625,0.56,4.5,5
free-evolution.csv,0.755,0.36,0.525,0.455,2.0,9
fw4spl.csv,0.325,0.30000000000000004,0.35,0.655,4.5,4
ipfire-wall.csv,0.19,0.235,0.195,0.72,3.5,3
ldview.csv,0.8200000000000001,0.28,0.735,0.51,6.0,2
nuttx.csv,0.765,0.36,0.55,0.495,1.5,10
uclmda.csv,0.215,0.28500000000000003,0.13,0.89,2.0,11
vdsf.csv,0.705,0.275,0.805,0.545,5.5,0
xcf.csv,0.57,0.365,0.36,0.45,2.5,8
