,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,1.01,1.06,0.83,0.97,0.77,0.67,0.9,0.0,0.94,0.38,0.74,1.04
ivatamasks.csv,0.43,0.57,0.68,0.01,0.74,0.63,0.59,0.81,0.59,0.62,0.59,0.67
orc.csv,1.15,0.92,0.06,0.94,0.83,1.01,0.72,1.0,0.98,0.49,0.84,0.97
plato.csv,0.73,0.57,0.93,0.94,0.84,0.0,0.88,0.85,0.85,0.8,0.8,0.97
proftp.csv,0.31,0.56,0.55,0.46,0.77,0.88,0.04,0.82,0.78,0.38,0.63,0.68
tycho.csv,1.15,0.4,0.62,0.66,0.72,0.76,0.6,0.76,0.0,1.05,0.82,0.67
uclmda.csv,0.96,0.98,0.97,1.0,0.85,0.89,0.76,0.98,0.87,0.03,0.97,0.0
umber.csv,0.0,0.88,0.76,0.73,0.87,0.94,1.0,0.5,0.95,1.0,0.9,1.05
unicase.csv,0.6,0.19,0.62,0.84,0.72,0.47,0.81,0.9,0.94,1.17,0.03,1.3
vienna-add-in.csv,0.48,0.79,0.93,0.82,0.05,0.8,0.93,0.49,0.76,1.08,0.69,0.56
wpdev.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0
