,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.09,0.78,0.12,0.48,0.54,0.81,0.45,1.0,0.11,0.04,0.72,0.04
ivatamasks.csv,0.56,0.84,0.2,0.99,0.58,0.54,0.58,0.78,0.63,0.03,0.71,0.95
orc.csv,0.07,0.15,0.97,0.11,0.59,0.85,0.42,0.0,0.13,0.03,0.55,0.28
plato.csv,0.45,0.84,0.12,0.64,0.6,1.0,0.57,0.26,0.48,0.02,0.79,0.45
proftp.csv,0.67,0.61,0.29,0.7,0.37,0.65,0.97,0.42,0.35,0.04,0.55,0.5
tycho.csv,0.12,0.75,0.21,0.69,0.46,0.56,0.53,0.42,1.0,0.0,0.75,0.58
uclmda.csv,0.07,0.04,0.05,0.0,0.34,0.21,0.36,0.07,0.56,0.33,0.06,1.0
umber.csv,1.0,0.22,0.22,0.42,0.23,0.13,0.0,0.67,0.1,0.0,0.19,0.01
unicase.csv,0.46,0.9,0.22,0.77,0.49,0.8,0.58,0.74,0.11,0.0,0.99,0.01
vienna-add-in.csv,0.53,0.55,0.15,0.75,0.98,0.52,0.15,0.74,0.48,0.0,0.66,0.84
wpdev.csv,0.41,1.0,0.19,0.81,0.8,0.91,0.62,0.84,0.71,0.02,0.84,0.98
