,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.62,0.8,0.37,0.95,0.0,0.76,0.67,0.38,0.7,1.0
critterding.csv,0.43,0.65,0.3,0.49,0.17,0.76,0.28,0.41,0.77,0.6
enlightenment.csv,0.55,0.45,0.25,0.73,0.19,0.75,0.28,0.6,0.67,0.52
exordium.csv,0.52,0.47,0.48,0.85,0.21,0.88,0.0,0.58,1.0,0.85
google-caja.csv,0.47,0.5,0.38,0.71,0.23,0.89,0.56,0.42,0.82,0.82
itext.csv,0.42,0.75,0.33,0.61,0.28,0.84,0.33,0.54,0.94,0.81
lockss.csv,0.55,1.0,0.67,0.88,0.34,0.95,0.69,0.76,1.0,0.94
modplug.csv,0.42,0.5,0.35,0.61,0.19,0.77,0.39,0.42,0.89,0.82
reactos-mirror.csv,0.61,0.62,0.29,0.78,0.26,0.8,0.28,0.64,0.82,0.64
yafdotnet.csv,0.42,0.46,0.27,0.7,0.21,0.88,0.62,0.67,0.9,0.74
