,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.98,0.9,0.53,0.98,0.0,0.94,0.52,0.47,0.37,0.5
critterding.csv,0.55,0.62,0.52,0.78,0.43,0.52,0.48,0.39,0.51,0.49
enlightenment.csv,0.51,0.44,0.41,0.47,0.39,0.34,0.4,0.45,0.37,0.43
exordium.csv,0.96,0.47,0.61,0.95,0.52,0.42,0.0,0.5,0.59,0.69
google-caja.csv,0.34,0.4,0.44,0.39,0.36,0.34,0.4,0.34,0.33,0.32
itext.csv,0.38,0.62,0.44,0.44,0.35,0.36,0.39,0.48,0.41,0.35
lockss.csv,0.77,0.8,0.67,0.77,0.41,0.43,0.62,0.65,0.89,0.56
modplug.csv,0.41,0.52,0.47,0.48,0.42,0.36,0.48,0.36,0.4,0.39
reactos-mirror.csv,0.56,0.57,0.44,0.5,0.43,0.32,0.4,0.87,0.45,0.38
yafdotnet.csv,0.42,0.41,0.46,0.61,0.4,0.43,0.75,0.45,0.4,0.34
