,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.07,0.24,0.37,0.13,0.0,0.17,0.74,0.65,0.69,0.06
critterding.csv,0.57,0.65,0.84,0.32,0.77,0.6,0.74,0.85,0.55,0.82
enlightenment.csv,0.66,1.0,1.0,0.64,1.0,1.0,1.0,0.59,0.82,0.97
exordium.csv,0.03,0.76,0.84,0.05,0.73,0.68,0.0,0.65,0.4,0.32
google-caja.csv,0.62,0.74,0.63,0.5,0.95,0.85,0.74,1.0,0.73,0.68
itext.csv,0.92,0.35,0.95,0.81,0.73,0.65,0.95,0.52,0.55,0.74
lockss.csv,0.25,0.15,0.53,0.23,0.64,0.54,0.47,0.39,0.16,0.44
modplug.csv,0.81,0.76,0.95,0.78,0.77,0.76,0.95,0.92,0.76,0.68
reactos-mirror.csv,0.6,0.68,0.95,0.53,0.55,0.73,1.0,0.26,0.73,0.94
yafdotnet.csv,0.43,0.56,0.53,0.26,1.0,0.65,0.26,0.69,0.49,0.76
