,freelords.csv,columba.csv,ng4j.csv,geogebra.csv,selenium.csv,glas.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
columba.csv,0.43,0.23,0.63,0.56,0.46,0.42,0.91,0.39,0.81
freelords.csv,0.54,0.49,0.71,0.56,0.7,0.93,0.62,0.66,0.61
geogebra.csv,0.11,0.31,0.39,0.24,0.09,0.13,0.01,0.35,0.0
glas.csv,0.32,0.32,0.47,0.67,0.7,0.31,0.33,0.35,0.61
magicwars.csv,0.79,1.0,0.98,0.77,0.89,1.0,0.08,0.95,0.86
ng4j.csv,0.39,0.32,0.15,0.42,0.57,0.53,0.67,0.84,0.73
selenium.csv,0.36,0.29,0.37,0.38,0.37,0.29,0.6,0.69,0.72
turbotrader-bos.csv,0.11,0.09,0.12,0.09,0.2,0.15,0.04,0.23,0.41
xmemcached.csv,0.54,0.96,0.75,0.49,0.54,0.84,0.7,0.96,0.16
