,freelords.csv,columba.csv,ng4j.csv,geogebra.csv,selenium.csv,glas.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
columba.csv,0.5,0.65,0.62,0.67,0.59,0.51,0.33,0.68,0.48
freelords.csv,0.64,0.71,0.65,0.74,0.61,0.27,0.61,0.68,0.65
geogebra.csv,0.19,0.54,0.56,0.67,0.18,0.17,0.26,0.69,0.2
glas.csv,0.62,0.59,0.66,0.64,0.61,0.63,0.65,0.69,0.65
magicwars.csv,0.55,0.0,0.09,0.57,0.34,0.0,0.71,0.21,0.42
ng4j.csv,0.68,0.52,0.73,0.63,0.7,0.58,0.55,0.48,0.62
selenium.csv,0.53,0.65,0.65,0.73,0.67,0.49,0.62,0.65,0.61
turbotrader-bos.csv,0.21,0.27,0.4,0.38,0.52,0.26,0.36,0.69,0.61
xmemcached.csv,0.6,0.17,0.51,0.71,0.49,0.43,0.55,0.17,0.76
