,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,0.46,0.47,0.54,0.3,0.43,0.83,0.51,0.5,0.43,0.47,0.47,0.79,0.42,0.44,0.33,0.4,0.43
dynalloy.csv,0.56,0.77,0.73,0.93,0.46,0.75,0.53,0.58,0.97,0.94,0.83,0.93,0.57,0.85,0.6,0.93,0.61
enzo.csv,0.41,0.42,0.38,0.32,0.46,0.42,0.45,0.49,0.43,0.42,0.34,0.39,0.36,0.42,0.43,0.37,0.38
hydrogen.csv,0.67,0.78,0.92,0.81,0.67,0.0,0.88,0.8,0.58,0.74,0.38,0.86,0.5,0.76,0.48,0.79,0.44
jcae.csv,0.75,0.94,0.9,0.89,0.0,0.0,0.67,0.89,0.9,0.0,0.0,0.0,0.75,0.8,0.88,0.8,0.81
kmatplot.csv,0.94,0.96,0.95,0.68,0.75,0.0,0.88,0.94,0.67,0.77,0.5,0.6,0.5,0.88,0.88,0.65,0.62
lphant.csv,0.46,0.47,0.48,0.33,0.49,0.85,0.5,0.6,0.36,0.41,0.37,0.41,0.5,0.5,0.4,0.36,0.43
natpad.csv,0.71,0.65,0.55,0.55,0.83,0.46,0.57,0.71,0.57,0.65,0.5,0.64,0.48,0.74,0.52,0.5,0.57
nosleepsoftware.csv,0.59,0.62,0.69,0.44,0.8,0.5,0.95,0.71,0.72,0.59,0.44,0.77,0.67,0.71,0.5,0.42,0.45
ossbuild.csv,0.95,0.89,0.96,0.93,0.5,0.9,0.84,0.94,0.97,0.97,0.95,0.94,0.46,0.57,0.78,0.88,0.83
quarkplayer.csv,0.94,0.9,0.75,0.89,0.86,0.0,0.75,0.79,0.0,0.9,0.88,0.95,0.88,0.9,0.92,0.8,0.9
quickfast.csv,0.51,0.5,0.49,0.32,0.42,0.47,0.57,0.59,0.4,0.43,0.39,0.35,0.58,0.42,0.56,0.37,0.41
rezilla.csv,0.43,0.52,0.42,0.4,0.41,0.65,0.45,0.58,0.47,0.57,0.35,0.81,0.49,0.46,0.41,0.41,0.44
rhex.csv,0.9,0.75,0.79,0.71,0.9,0.5,0.86,0.71,0.0,0.86,0.93,0.83,0.0,0.76,0.82,0.83,0.88
rocrail.csv,0.75,0.78,0.93,0.67,0.5,0.5,0.89,0.67,0.8,0.8,0.83,0.86,0.86,0.67,0.67,0.67,0.75
virtuoso.csv,0.83,0.56,0.47,0.39,0.9,0.46,0.57,0.72,0.45,0.58,0.78,0.7,0.5,0.47,0.46,0.78,0.48
yield.csv,0.42,0.42,0.41,0.32,0.34,0.83,0.53,0.49,0.34,0.4,0.35,0.35,0.36,0.34,0.36,0.33,0.38
