,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.6,0.77,0.03,0.15,0.69,0.8,0.47,0.14,0.13,0.68,0.28
libtorrent.csv,0.78,0.43,0.07,0.33,0.75,0.95,0.58,0.18,0.24,0.91,0.4
mcmc-jags.csv,0.76,0.39,0.05,0.68,0.76,0.87,0.59,0.25,0.16,0.86,0.48
natpad.csv,0.81,0.52,0.05,0.35,0.77,0.92,0.62,0.21,0.23,0.92,0.57
nebuladevice.csv,0.65,0.21,0.0,0.22,0.75,0.89,0.54,0.13,0.34,0.91,0.5
olap-navigator.csv,0.98,0.53,0.15,0.47,0.88,1.0,0.58,0.21,0.31,0.93,0.75
pidgin.csv,0.82,0.4,0.07,0.71,0.85,0.91,0.67,0.2,0.29,0.9,0.62
salasaga.csv,0.53,0.53,0.04,0.3,0.81,0.84,0.64,0.33,0.14,0.83,0.5
sepgsql.csv,0.97,0.45,0.12,0.57,0.88,1.0,0.71,0.27,0.33,0.97,0.65
xstore.csv,0.66,0.43,0.05,0.56,0.76,0.91,0.74,0.22,0.18,0.91,0.45
xtreemfs.csv,0.97,0.48,0.14,0.42,0.84,0.98,0.68,0.32,0.33,0.97,0.57
