,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.39,0.18,0.12,0.18,1.0,1.0,0.61,0.37,0.93,1.0,0.45,0.4,0.64
grafx2.csv,0.21,0.14,0.09,0.17,0.86,0.46,0.68,0.27,1.0,0.87,0.45,0.45,0.57
jahshakafx.csv,1.0,0.25,0.15,0.27,1.0,0.62,0.67,0.5,0.65,1.0,0.64,0.0,0.93
kftpgrabber.csv,0.42,0.25,0.18,0.4,0.86,0.44,0.6,0.46,0.87,1.0,1.0,0.35,0.92
kindb.csv,0.48,0.19,0.09,0.23,0.91,0.46,0.78,0.43,0.84,1.0,0.45,0.41,0.63
maya-work-in-progress.csv,0.37,0.18,0.08,0.18,0.86,0.34,0.97,0.33,0.71,0.87,0.39,0.41,0.59
netatalk.csv,0.53,0.23,0.15,0.35,0.85,0.59,1.0,0.65,0.88,0.95,0.67,1.0,0.79
nullc.csv,0.35,0.11,0.06,0.13,1.0,0.33,0.39,0.28,0.57,0.73,0.33,0.25,0.44
plee-the-bear.csv,0.14,0.04,1.0,0.18,0.75,0.22,0.4,0.19,0.39,0.56,0.3,0.14,0.33
reaper-ecad.csv,0.35,0.1,0.08,1.0,0.79,0.39,0.44,0.43,0.83,0.72,0.38,0.3,0.5
unimrcp.csv,0.56,0.25,0.28,0.24,0.91,0.74,1.0,1.0,0.93,1.0,0.67,0.62,0.92
unladen-swallow.csv,0.22,0.8,0.04,0.06,0.7,0.24,0.34,0.2,0.54,0.61,0.18,0.17,0.33
xmoto.csv,0.51,0.19,0.08,0.2,0.8,0.43,0.56,0.39,0.83,0.79,0.51,0.35,1.0
