,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.56,0.64,0.61,0.6,0.58,0.63,0.7,0.95,0.73,0.33,0.59,0.73,0.6
grafx2.csv,0.77,0.62,0.56,0.97,0.86,0.7,0.55,0.62,0.45,0.4,0.62,0.5,0.63
jahshakafx.csv,0.5,0.76,0.91,0.93,0.54,0.89,0.83,0.9,0.65,0.0,0.91,0.0,0.64
kftpgrabber.csv,0.8,0.54,0.86,0.93,0.86,0.66,0.8,0.48,0.42,0.47,0.57,0.75,0.75
kindb.csv,0.36,0.38,0.42,0.42,0.43,0.4,0.48,0.4,0.32,0.34,0.39,0.41,0.4
maya-work-in-progress.csv,0.48,0.41,0.42,0.46,0.46,0.36,0.52,0.38,0.38,0.32,0.39,0.38,0.49
netatalk.csv,0.53,0.49,0.59,0.81,0.69,0.66,0.86,0.76,0.42,0.38,0.62,0.71,0.63
nullc.csv,0.46,0.5,0.42,0.54,0.46,0.39,0.5,0.44,0.54,0.41,0.42,0.4,0.45
plee-the-bear.csv,0.85,0.99,0.97,0.55,0.75,0.86,0.47,0.52,0.84,0.72,0.91,0.75,0.69
reaper-ecad.csv,0.51,0.66,0.48,0.96,0.58,0.55,0.52,0.86,0.83,0.41,0.49,0.43,0.58
unimrcp.csv,0.65,0.63,0.98,0.83,0.55,0.98,0.67,0.65,0.57,0.7,0.57,0.75,0.69
unladen-swallow.csv,0.94,1.0,0.63,0.83,0.77,0.77,0.53,0.58,0.66,0.55,0.82,0.67,0.67
xmoto.csv,0.41,0.46,0.57,0.7,0.57,0.46,0.68,0.39,0.31,0.32,0.51,0.43,0.54
