,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.68,0.48,0.52,0.67,0.24,0.93,0.44,0.26,0.33,0.62,0.33,0.43,0.44
grafx2.csv,0.37,0.56,0.58,0.25,0.36,0.41,0.47,0.37,0.98,0.76,0.63,0.64,0.47
jahshakafx.csv,1.0,0.37,0.39,0.17,0.26,0.34,0.12,0.19,0.26,0.03,0.23,0.0,0.36
kftpgrabber.csv,0.26,0.55,0.42,0.25,0.12,0.4,0.09,0.78,0.63,0.44,0.93,0.5,0.31
kindb.csv,0.78,0.85,0.79,0.75,0.42,0.83,0.56,0.67,0.72,0.94,0.77,0.5,0.53
maya-work-in-progress.csv,0.85,0.76,0.85,0.79,0.6,0.81,0.94,0.7,0.74,0.79,0.77,0.93,0.61
netatalk.csv,0.47,0.63,0.64,0.38,0.22,0.46,0.22,0.41,0.49,0.59,0.47,1.0,0.42
nullc.csv,0.86,0.94,0.91,1.0,1.0,0.93,0.84,0.96,0.88,0.94,1.0,0.86,0.89
plee-the-bear.csv,0.25,0.13,0.88,0.75,0.48,0.24,0.97,0.56,0.4,0.41,0.23,0.29,0.42
reaper-ecad.csv,0.81,0.56,0.79,1.0,0.68,0.71,0.75,0.11,0.12,0.82,0.6,1.0,0.72
unimrcp.csv,0.36,0.42,0.45,0.29,0.2,0.31,0.09,0.96,0.3,0.29,0.47,0.36,0.33
unladen-swallow.csv,0.22,0.61,0.36,0.21,0.42,0.31,0.69,0.52,0.51,0.56,0.23,0.36,0.42
xmoto.csv,0.84,0.76,0.7,0.62,0.48,0.7,0.44,0.81,0.67,0.79,0.67,0.57,0.97
