,pclasses.csv,olap-navigator.csv,re2c.csv,tzod.csv,wxcrp.csv,atlc.csv,konversation.csv,co-ode-owl-plugins.csv,etherboot.csv,boost-sandbox.csv,plato.csv,freebios.csv,clamav.csv,miranda-icq.csv,jasperreports.csv,frogatto.csv,rebecca-aiml.csv,glelite.csv
atlc.csv,0.45,0.45,0.58,0.48,0.45,0.51,0.43,0.41,0.52,0.45,0.41,0.56,0.39,0.42,0.46,0.48,0.49,0.55
boost-sandbox.csv,0.6,0.51,0.52,0.57,0.5,0.0,0.49,0.73,0.5,0.46,0.64,0.0,0.0,0.5,0.7,0.52,0.62,0.55
clamav.csv,0.59,0.94,0.83,0.58,0.46,0.55,0.49,0.95,0.56,0.84,0.75,0.81,0.58,0.61,0.93,0.63,0.59,0.55
co-ode-owl-plugins.csv,0.73,0.76,0.41,0.6,0.6,0.57,0.63,0.95,0.41,0.49,0.8,0.51,0.89,0.47,0.47,0.49,0.46,0.51
etherboot.csv,0.62,0.49,0.89,0.53,0.47,0.63,0.45,0.48,0.86,0.52,0.47,0.94,0.52,0.5,0.52,0.46,0.82,0.55
freebios.csv,0.59,0.78,0.48,0.69,0.48,0.67,0.61,0.87,0.64,0.79,0.53,0.65,0.78,0.64,0.72,0.58,0.75,0.66
frogatto.csv,0.47,0.49,0.4,0.48,0.41,0.6,0.49,0.53,0.44,0.41,0.42,0.47,0.64,0.41,0.46,0.5,0.53,0.53
glelite.csv,0.39,0.44,0.42,0.35,0.42,0.41,0.42,0.38,0.41,0.38,0.42,0.39,0.39,0.39,0.46,0.42,0.4,0.49
jasperreports.csv,0.9,0.91,0.75,0.67,0.88,0.0,0.86,0.92,0.94,0.86,0.62,0.83,0.67,0.94,0.96,0.92,0.0,0.9
konversation.csv,0.79,0.89,0.94,0.85,0.67,0.62,0.92,0.95,0.96,0.95,0.79,0.95,0.77,0.78,0.93,0.82,0.93,0.85
miranda-icq.csv,0.7,0.95,0.8,0.67,0.73,0.9,0.93,0.68,0.56,0.57,0.71,0.64,0.64,0.81,0.59,0.82,0.85,0.69
olap-navigator.csv,0.73,0.52,0.53,0.49,0.46,0.64,0.41,0.39,0.5,0.39,0.58,0.44,0.55,0.51,0.55,0.48,0.5,0.6
pclasses.csv,0.91,0.85,0.0,0.84,0.91,0.0,0.76,0.92,0.75,0.96,0.88,0.88,0.91,0.0,0.99,0.72,0.88,0.9
plato.csv,0.48,0.46,0.45,0.48,0.43,0.0,0.46,0.43,0.42,0.4,0.47,0.0,0.0,0.0,0.51,0.54,0.52,0.55
re2c.csv,0.56,0.61,0.83,0.44,0.67,0.62,0.86,0.76,0.93,0.83,0.89,0.6,0.56,0.56,0.97,0.44,0.62,0.7
rebecca-aiml.csv,0.8,0.61,0.5,0.82,0.55,0.63,0.67,0.62,0.76,0.72,0.53,0.81,0.67,0.56,0.9,0.86,0.66,0.76
tzod.csv,0.67,0.57,0.59,0.56,0.47,0.74,0.59,0.56,0.48,0.66,0.53,0.79,0.75,0.58,0.56,0.52,0.78,0.54
wxcrp.csv,0.0,0.71,0.88,0.83,0.67,0.8,0.69,0.6,0.71,0.94,0.58,0.75,0.83,0.59,0.61,0.62,0.68,0.6
