,pclasses.csv,olap-navigator.csv,re2c.csv,tzod.csv,wxcrp.csv,atlc.csv,konversation.csv,co-ode-owl-plugins.csv,etherboot.csv,boost-sandbox.csv,plato.csv,freebios.csv,clamav.csv,miranda-icq.csv,jasperreports.csv,frogatto.csv,rebecca-aiml.csv,glelite.csv
atlc.csv,0.28,0.82,0.27,0.54,0.44,1.0,0.23,0.17,0.43,0.76,0.7,0.56,0.56,0.4,0.13,0.6,0.24,0.92
boost-sandbox.csv,0.28,0.68,0.15,0.39,0.49,0.0,0.27,0.42,0.25,0.99,0.39,0.0,0.0,0.04,0.33,0.53,0.4,0.62
clamav.csv,0.36,0.21,0.17,0.41,0.51,0.58,0.25,0.54,0.39,0.55,0.41,0.53,0.97,0.46,0.15,0.39,0.54,0.6
co-ode-owl-plugins.csv,0.24,0.46,0.19,0.46,0.38,0.53,0.33,0.95,0.42,0.54,0.35,0.57,0.34,0.4,0.1,0.7,0.47,0.92
etherboot.csv,0.11,0.73,0.4,0.48,0.54,0.62,0.29,0.11,0.98,0.69,0.8,0.22,0.38,0.41,0.31,0.62,0.21,0.6
freebios.csv,0.28,0.45,0.19,0.31,0.43,0.41,0.37,0.04,0.39,0.41,0.74,0.95,0.33,0.33,0.11,0.49,0.65,0.58
frogatto.csv,0.29,0.65,0.15,0.53,0.55,0.59,0.27,0.19,0.36,0.65,0.68,0.46,0.41,0.44,0.11,0.97,0.37,0.9
glelite.csv,0.29,0.82,0.19,0.53,0.45,0.72,0.21,0.28,0.42,0.84,0.91,0.66,0.53,0.41,0.1,0.69,0.45,1.0
jasperreports.csv,0.0,0.14,0.0,0.0,0.15,0.05,0.0,0.13,0.21,0.09,0.65,0.18,0.09,0.12,0.94,0.25,0.0,0.11
konversation.csv,0.05,0.6,0.26,0.26,0.34,0.45,1.0,0.31,0.33,0.23,0.56,0.32,0.29,0.28,0.13,0.34,0.21,0.28
miranda-icq.csv,0.18,0.35,0.18,0.37,0.36,0.35,0.07,0.36,0.33,0.56,0.44,0.47,0.53,0.96,0.2,0.34,0.26,0.44
olap-navigator.csv,0.12,1.0,0.32,0.44,0.41,0.61,0.27,0.25,0.42,0.81,0.65,0.5,0.45,0.35,0.2,0.58,0.27,0.74
pclasses.csv,1.0,0.45,0.29,0.3,0.25,0.0,0.27,0.39,0.08,0.34,0.24,0.18,0.13,0.0,0.04,0.41,0.2,0.1
plato.csv,0.34,0.77,0.21,0.51,0.42,0.0,0.23,0.28,0.41,0.82,0.99,0.0,0.0,0.0,0.08,0.52,0.37,0.94
re2c.csv,0.21,0.64,1.0,0.37,0.22,0.46,0.18,0.38,0.28,0.53,0.52,0.6,0.46,0.3,0.0,0.64,0.6,0.44
rebecca-aiml.csv,0.13,0.48,0.25,0.23,0.41,0.47,0.48,0.15,0.33,0.36,0.73,0.55,0.41,0.35,0.14,0.23,0.99,0.46
tzod.csv,0.25,0.58,0.29,1.0,0.54,0.47,0.37,0.18,0.28,0.4,0.39,0.47,0.33,0.44,0.14,0.62,0.2,0.57
wxcrp.csv,0.0,0.67,0.29,0.3,0.98,0.27,0.5,0.31,0.22,0.22,0.69,0.08,0.31,0.45,0.13,0.5,0.48,0.33
