,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.4,0.47,0.43,0.55,0.59,0.46,0.59,0.6,0.48,0.88,0.69,0.74
gdis.csv,0.77,0.72,0.42,0.53,0.44,0.59,0.62,0.64,0.24,1.1,0.78,0.73
kml.csv,0.5,0.99,0.88,0.55,0.32,0.89,0.91,0.95,0.48,1.0,0.96,1.0
ppcboot.csv,0.67,0.78,0.55,0.52,0.59,0.73,0.68,0.67,0.49,1.0,0.94,0.97
repositorium.csv,0.89,0.98,1.0,0.88,0.92,0.31,0.98,0.9,0.81,0.79,0.67,0.83
rsyslog.csv,0.32,0.75,0.47,0.74,0.61,0.84,0.63,0.65,0.49,0.82,0.57,1.0
simplewebservices.csv,0.96,0.94,0.95,0.98,0.93,1.0,0.9,0.54,0.77,0.84,0.76,0.48
ultimairis.csv,0.75,0.98,0.61,0.89,1.0,0.67,0.37,0.84,0.77,1.06,0.86,0.94
wow-qrsk.csv,0.92,0.61,0.3,0.74,0.81,1.0,0.98,0.88,0.95,0.74,0.97,0.8
wxstudio.csv,0.56,0.86,1.05,0.88,0.8,0.49,0.9,1.0,1.0,1.0,0.36,0.99
xbg.csv,0.86,0.98,0.88,0.68,0.83,0.83,0.55,0.3,0.85,1.18,0.91,0.72
xqilla.csv,0.96,1.0,0.8,0.92,0.92,0.89,0.9,1.05,0.86,0.06,0.74,0.87
