,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.73,0.44,0.42,0.71,0.67,0.23,0.45,0.17,0.92,0.01,0.47,0.42
gdis.csv,0.54,0.32,0.45,0.73,0.66,0.16,0.44,0.15,0.98,0.0,0.39,0.43
kml.csv,0.66,0.28,0.21,0.66,0.76,0.11,0.33,0.13,0.9,0.02,0.39,0.41
ppcboot.csv,0.61,0.33,0.28,0.69,0.6,0.12,0.36,0.16,0.89,0.02,0.38,0.42
repositorium.csv,0.75,0.2,0.02,0.52,0.29,0.29,0.08,0.08,0.81,0.03,0.47,0.33
rsyslog.csv,0.78,0.3,0.31,0.5,0.68,0.13,0.38,0.25,0.89,0.03,0.54,0.41
simplewebservices.csv,0.51,0.27,0.19,0.52,0.48,0.09,0.29,0.19,0.85,0.03,0.48,0.57
ultimairis.csv,0.58,0.28,0.26,0.54,0.48,0.19,0.62,0.15,0.84,0.0,0.31,0.42
wow-qrsk.csv,1.0,0.37,0.43,0.74,1.0,0.0,0.25,0.33,0.75,0.03,1.0,0.58
wxstudio.csv,0.75,0.21,0.08,0.44,0.43,0.2,0.22,0.0,0.68,0.0,0.72,0.5
xbg.csv,0.47,0.14,0.18,0.57,0.38,0.15,0.49,0.32,0.73,0.0,0.26,0.42
xqilla.csv,1.0,0.07,0.15,0.36,0.31,0.07,0.18,0.0,0.72,0.3,0.62,0.5
